제품코드,순번,원료코드,함량
MLDM030,4.0,MKG-0001,1.0
MLDM030,5.0,MFS-0099,0.8
MLDM030,6.0,MPP-0005,0.7
MLDM030,7.0,MAP-0031,0.01
MLDM031,1.0,MXD-0002,83.29
MLDM031,2.0,MKE-0001,12.0
MLDM031,3.0,MSE-0025,2.2
MLDM031,4.0,MKG-0001,1.0
MLDM031,5.0,MFS-0099,0.8
MLDM031,6.0,MPP-0005,0.7
MLDM031,7.0,MAP-0031,0.01
JOFC001,1.0,MXD-0002,45.260000000000005
JOFC001,2.0,MKG-0001,17.0
JOFC001,3.0,MWM-0006,13.7
JOFC001,4.0,MWP-0009,8.8
JOFC001,5.0,MXK-0002,5.0
JOFC001,6.0,MWL-0003,4.0
JOFC001,7.0,MLM-0003,2.0
JOFC001,8.0,MSA-0007,1.8
JOFC001,9.0,MWW-0001,1.7
JOFC001,10.0,MFP-0040,0.3
JOFC001,11.0,MXE-0001,0.1
JOFC001,12.0,MPD-0003,0.1
JOFC001,13.0,MAR-0006,0.1
JOFC001,14.0,MVN-0001,0.06
JOFC001,15.0,MAA-0001,0.02
JOFC001,16.0,MOM-0005,0.01
JOFC001,17.0,MAV-0002,0.01
JOFC001,18.0,MOR-0001,0.01
JOFC001,19.0,MAE-0013,0.01
JOFC001,20.0,MAF-0006,0.01
JOFC001,21.0,MAG-0030,0.01
JOCO001,1.0,MOC-0010,82.16
JOCO001,2.0,MSE-0026,13.0
JOCO001,3.0,MOM-0004,4.0
JOCO001,4.0,MFB-0072,0.3
JOCO001,5.0,MOM-0005,0.1
JOCO001,6.0,MOO-0001,0.1
JOCO001,7.0,MOA-0011,0.1
JOCO001,8.0,MAG-0030,0.1
JOCO001,9.0,MAV-0002,0.06
JOCO001,10.0,MOJ-0001,0.02
JOCO001,11.0,MOR-0001,0.01
JOCO001,12.0,MFE-0019,0.01
JOCO001,13.0,MFM-0010,0.01
JOCO001,14.0,MFB-0075,0.01
JOCO001,15.0,MAE-0013,0.01
JOCO001,16.0,MAF-0006,0.01
NPBC005,1.0,MXD-0002,58.10600000000003
NPBC005,2.0,MSM-0004,22.0
NPBC005,3.0,MSM-0003,10.0
NPBC005,4.0,MSM-0013,5.0
NPBC005,5.0,MSM-0011,2.3
NPBC005,6.0,MLM-0003,0.8
NPBC005,7.0,MFB-0084,0.6
NPBC005,8.0,MPS-0003,0.4
NPBC005,9.0,MXN-0003,0.3
NPBC005,10.0,MXC-0001,0.1
NPBC005,11.0,MXE-0001,0.1
NPBC005,12.0,MKP-0001,0.1
NPBC005,13.0,MPL-0001,0.06
NPBC005,14.0,MAR-0006,0.05
NPBC005,15.0,MAS-0003,0.01
NPBC005,16.0,MAF-0006,0.01
NPBC005,17.0,MAG-0012,0.01
NPBC005,18.0,MAM-0001,0.01
NPBC005,19.0,MAH-0008,0.01
NPBC005,20.0,MAM-0027,0.01
NPBC005,21.0,MAP-0020,0.01
NPBC005,22.0,MAS-0029,0.01
NPBC005,23.0,MOD-0016,0.001
NPBC005,24.0,MOM-0005,0.001
NPBC005,25.0,MOC-0009,0.001
NPBC005,26.0,MOS-0026,0.001
NPBC006,1.0,MXD-0002,58.30592000000003
NPBC006,2.0,MSM-0004,22.0
NPBC006,3.0,MSM-0003,10.0
NPBC006,4.0,MSM-0013,5.0
NPBC006,5.0,MSM-0011,2.3
NPBC006,6.0,MLM-0003,0.6
NPBC006,7.0,MFB-0085,0.6
NPBC006,8.0,MPS-0003,0.4
NPBC006,9.0,MXN-0003,0.3
NPBC006,10.0,MXC-0001,0.1
NPBC006,11.0,MXE-0001,0.1
NPBC006,12.0,MKP-0001,0.1
NPBC006,13.0,MPL-0001,0.06
NPBC006,14.0,MAR-0006,0.05
NPBC006,15.0,MAS-0003,0.01
NPBC006,16.0,MAF-0006,0.01
NPBC006,17.0,MAG-0012,0.01
NPBC006,18.0,MAM-0001,0.01
NPBC006,19.0,MAH-0008,0.01
NPBC006,20.0,MAM-0027,0.01
NPBC006,21.0,MAP-0020,0.01
NPBC006,22.0,MAS-0029,0.01
NPBC006,23.0,MOD-0016,0.001
NPBC006,24.0,MOM-0005,0.001
NPBC006,25.0,MOC-0009,0.001
NPBC006,26.0,MOS-0026,0.001
NPBC006,27.0,MCF-0006,8e-05
NPBC007,1.0,MXD-0002,58.54600000000003
NPBC007,2.0,MSM-0004,22.0
NPBC007,3.0,MSM-0003,10.0
NPBC007,4.0,MSM-0013,5.0
NPBC007,5.0,MSM-0011,2.4
NPBC007,6.0,MFB-0086,0.5
NPBC007,7.0,MPS-0003,0.4
NPBC007,8.0,MXN-0003,0.3
NPBC007,9.0,MAF-0008,0.21
NPBC007,10.0,MLM-0003,0.15
NPBC007,11.0,MXC-0001,0.1
NPBC007,12.0,MXE-0001,0.1
NPBC007,13.0,MKP-0001,0.1
NPBC007,14.0,MPL-0001,0.06
NPBC007,15.0,MAR-0006,0.05
NPBC007,16.0,MAS-0003,0.01
NPBC007,17.0,MAF-0006,0.01
NPBC007,18.0,MAG-0012,0.01
NPBC007,19.0,MAM-0001,0.01
NPBC007,20.0,MAH-0008,0.01
NPBC007,21.0,MAM-0027,0.01
NPBC007,22.0,MAP-0020,0.01
NPBC007,23.0,MAS-0029,0.01
NPBC007,24.0,MOD-0016,0.001
NPBC007,25.0,MOM-0005,0.001
NPBC007,26.0,MOC-0009,0.001
NPBC007,27.0,MOS-0026,0.001
NPBC008,1.0,MXD-0002,58.72356000000003
NPBC008,2.0,MSM-0004,22.0
NPBC008,3.0,MSM-0003,10.0
NPBC008,4.0,MSM-0013,5.0
NPBC008,5.0,MSM-0011,2.3
NPBC008,6.0,MFB-0054,0.6
NPBC008,7.0,MPS-0003,0.4
NPBC008,8.0,MXN-0003,0.3
NPBC008,9.0,MLM-0003,0.15
NPBC008,10.0,MXC-0001,0.1
NPBC008,11.0,MXE-0001,0.1
NPBC008,12.0,MKP-0001,0.1
NPBC008,13.0,MPL-0001,0.06
NPBC008,14.0,MAR-0006,0.05
NPBC008,15.0,MAF-0008,0.032
NPBC008,16.0,MAS-0003,0.01
NPBC008,17.0,MAF-0006,0.01
NPBC008,18.0,MAG-0012,0.01
NPBC008,19.0,MAM-0001,0.01
NPBC008,20.0,MAH-0008,0.01
NPBC008,21.0,MAM-0027,0.01
NPBC008,22.0,MAP-0020,0.01
NPBC008,23.0,MAS-0029,0.01
NPBC008,24.0,MOD-0016,0.001
NPBC008,25.0,MOM-0005,0.001
NPBC008,26.0,MOC-0009,0.001
NPBC008,27.0,MOS-0026,0.001
NPBC008,28.0,MCF-0005,0.00032
NPBC008,29.0,MCF-0001,0.00011999999999999999
ILWSP02,1.0,MXD-0002,73.32999999999998
ILWSP02,2.0,MSM-0013,10.0
ILWSP02,3.0,MKP-0001,7.0
ILWSP02,4.0,MSP-0004,4.0
ILWSP02,5.0,MAL-0001,1.8
ILWSP02,6.0,MVN-0001,1.2
ILWSP02,7.0,MSR-0002,0.5
ILWSP02,8.0,MFF-0043,0.45
ILWSP02,9.0,MPS-0002,0.3
ILWSP02,10.0,MPE-0002,0.3
ILWSP02,11.0,MAM-0031,0.2
ILWSP02,12.0,MXE-0001,0.1
ILWSP02,13.0,MXC-0001,0.1
ILWSP02,14.0,MAH-0011,0.1
ILWSP02,15.0,MAB-0014,0.1
ILWSP02,16.0,MAY-0007,0.1
ILWSP02,17.0,MAY-0003,0.1
ILWSP02,18.0,MAC-0038,0.1
ILWSP02,19.0,MAM-0001,0.1
ILWSP02,20.0,MXL-0001,0.05
ILWSP02,21.0,MXC-0004,0.05
ILWSP02,22.0,MXM-0001,0.02
FJPW000,1.0,MSS-0006,99.9991
FJPW000,2.0,MAS-0003,0.0001
FJPW000,3.0,MAS-0021,0.0001
FJPW000,4.0,MAG-0021,0.0001
FJPW000,5.0,MAY-0007,0.0001
FJPW000,6.0,MAM-0027,0.0001
FJPW000,7.0,MAL-0022,0.0001
FJPW000,8.0,MAR-0015,0.0001
FJPW000,9.0,MAI-0005,0.0001
FJPW000,10.0,MAB-0016,0.0001
NPSS001,1.0,MXH-0002,62.0
NPSS001,2.0,MKG-0001,17.0
NPSS001,3.0,MXD-0002,12.259
NPSS001,4.0,MK1-0001,3.0
NPSS001,5.0,MSC-0003,2.0
NPSS001,6.0,MSP-0004,1.0
NPSS001,7.0,MXC-0007,0.8
NPSS001,8.0,MVH-0002,0.4
NPSS001,9.0,MFB-0084,0.4
NPSS001,10.0,MDP-0004,0.25
NPSS001,11.0,MVK-0001,0.2
NPSS001,12.0,MVN-0001,0.2
NPSS001,13.0,MPS-0002,0.2
NPSS001,14.0,MPE-0002,0.2
NPSS001,15.0,MFE-0019,0.01
NPSS001,16.0,MAH-0008,0.01
NPSS001,17.0,MAR-0006,0.01
NPSS001,18.0,MAF-0006,0.01
NPSS001,19.0,MAG-0012,0.01
NPSS001,20.0,MAM-0001,0.01
NPSS001,21.0,MAM-0027,0.01
NPSS001,22.0,MAP-0020,0.01
NPSS001,23.0,MAS-0029,0.01
NPSS001,24.0,MAS-0003,0.001
NPSS002,1.0,MXH-0002,62.0
NPSS002,2.0,MKG-0001,17.0
NPSS002,3.0,MXD-0002,12.258339999999933
NPSS002,4.0,MK1-0001,3.0
NPSS002,5.0,MSC-0003,2.0
NPSS002,6.0,MSP-0004,1.0
NPSS002,7.0,MXC-0007,0.8
NPSS002,8.0,MVH-0002,0.4
NPSS002,9.0,MFB-0085,0.4
NPSS002,10.0,MDP-0004,0.25
NPSS002,11.0,MVK-0001,0.2
NPSS002,12.0,MVN-0001,0.2
NPSS002,13.0,MPS-0002,0.2
NPSS002,14.0,MPE-0002,0.2
NPSS002,15.0,MFE-0019,0.01
NPSS002,16.0,MAH-0008,0.01
NPSS002,17.0,MAR-0006,0.01
NPSS002,18.0,MAF-0006,0.01
NPSS002,19.0,MAG-0012,0.01
NPSS002,20.0,MAM-0001,0.01
NPSS002,21.0,MAM-0027,0.01
NPSS002,22.0,MAP-0020,0.01
NPSS002,23.0,MAS-0029,0.01
NPSS002,24.0,MAS-0003,0.001
NPSS002,25.0,MCF-0006,0.00066
NPSS003,1.0,MXH-0002,62.0
NPSS003,2.0,MKG-0001,17.0
NPSS003,3.0,MXD-0002,11.958999999999932
NPSS003,4.0,MK1-0001,3.0
NPSS003,5.0,MSC-0003,2.0
NPSS003,6.0,MSP-0004,1.0
NPSS003,7.0,MXC-0007,0.8
NPSS003,8.0,MVH-0002,0.4
NPSS003,9.0,MFB-0086,0.4
NPSS003,10.0,MAF-0008,0.3
NPSS003,11.0,MDP-0004,0.25
NPSS003,12.0,MVK-0001,0.2
NPSS003,13.0,MVN-0001,0.2
NPSS003,14.0,MPS-0002,0.2
NPSS003,15.0,MPE-0002,0.2
NPSS003,16.0,MFE-0019,0.01
NPSS003,17.0,MAH-0008,0.01
NPSS003,18.0,MAR-0006,0.01
NPSS003,19.0,MAF-0006,0.01
NPSS003,20.0,MAG-0012,0.01
NPSS003,21.0,MAM-0001,0.01
NPSS003,22.0,MAM-0027,0.01
NPSS003,23.0,MAP-0020,0.01
NPSS003,24.0,MAS-0029,0.01
NPSS003,25.0,MAS-0003,0.001
NPSS004,1.0,MXH-0002,62.0
NPSS004,2.0,MKG-0001,17.0
NPSS004,3.0,MXD-0002,12.136799999999923
NPSS004,4.0,MK1-0001,3.0
NPSS004,5.0,MSC-0003,2.0
NPSS004,6.0,MSP-0004,1.0
NPSS004,7.0,MXC-0007,0.8
NPSS004,8.0,MVH-0002,0.4
NPSS004,9.0,MFB-0054,0.4
NPSS004,10.0,MDP-0004,0.25
NPSS004,11.0,MVK-0001,0.2
NPSS004,12.0,MVN-0001,0.2
NPSS004,13.0,MPS-0002,0.2
NPSS004,14.0,MPE-0002,0.2
NPSS004,15.0,MAF-0008,0.12
NPSS004,16.0,MFE-0019,0.01
NPSS004,17.0,MAH-0008,0.01
NPSS004,18.0,MAR-0006,0.01
NPSS004,19.0,MAF-0006,0.01
NPSS004,20.0,MAG-0012,0.01
NPSS004,21.0,MAM-0001,0.01
NPSS004,22.0,MAM-0027,0.01
NPSS004,23.0,MAP-0020,0.01
NPSS004,24.0,MAS-0029,0.01
NPSS004,25.0,MCF-0005,0.0016
NPSS004,26.0,MAS-0003,0.001
NPSS004,27.0,MCF-0001,0.0006
JOSC001,1.0,MXS-0011,43.5
JOSC001,2.0,MXD-0002,23.045
JOSC001,3.0,MKG-0001,16.4
JOSC001,4.0,MDS-0015,7.0
JOSC001,5.0,MSC-0003,5.5
JOSC001,6.0,MDA-0001,1.5
JOSC001,7.0,MSP-0006,1.0
JOSC001,8.0,MSN-0011,0.6
JOSC001,9.0,MPE-0002,0.4
JOSC001,10.0,MFB-0080,0.3
JOSC001,11.0,MPS-0002,0.3
JOSC001,12.0,MVC-0001,0.2
JOSC001,13.0,MXS-0012,0.1
JOSC001,14.0,MXC-0009,0.1
JOSC001,15.0,MAF-0006,0.01
JOSC001,16.0,MAS-0021,0.01
JOSC001,17.0,MAG-0009,0.01
JOSC001,18.0,MAV-0005,0.01
JOSC001,19.0,MAM-0026,0.01
JOSC001,20.0,MXC-0001,0.001
JOSC001,21.0,MXS-0001,0.001
JOSC001,22.0,MXG-0003,0.001
JOSC001,23.0,MXG-0004,0.001
JOSC001,24.0,MXL-0001,0.001
JOSCP01,1.0,MXS-0011,43.5
JOSCP01,2.0,MXD-0002,23.045
JOSCP01,3.0,MKG-0001,16.4
JOSCP01,4.0,MDS-0015,7.0
JOSCP01,5.0,MSC-0003,5.5
JOSCP01,6.0,MDA-0001,1.5
JOSCP01,7.0,MSP-0006,1.0
JOSCP01,8.0,MSN-0011,0.6
JOSCP01,9.0,MPE-0002,0.4
JOSCP01,10.0,MFB-0080,0.3
JOSCP01,11.0,MPS-0002,0.3
JOSCP01,12.0,MVC-0001,0.2
JOSCP01,13.0,MXS-0012,0.1
JOSCP01,14.0,MXC-0009,0.1
JOSCP01,15.0,MAF-0006,0.01
JOSCP01,16.0,MAS-0021,0.01
JOSCP01,17.0,MAG-0009,0.01
JOSCP01,18.0,MAV-0005,0.01
JOSCP01,19.0,MAM-0026,0.01
JOSCP01,20.0,MXC-0001,0.001
JOSCP01,21.0,MXS-0001,0.001
JOSCP01,22.0,MXG-0003,0.001
JOSCP01,23.0,MXG-0004,0.001
JOSCP01,24.0,MXL-0001,0.001
JOFC002,1.0,MXD-0002,44.20000000000001
JOFC002,2.0,MKG-0001,18.0
JOFC002,3.0,MWM-0006,14.7
JOFC002,4.0,MWP-0009,8.0
JOFC002,5.0,MXK-0002,4.9
JOFC002,6.0,MWL-0003,4.0
JOFC002,7.0,MLM-0003,2.0
JOFC002,8.0,MSA-0007,2.0
JOFC002,9.0,MWW-0001,1.2
JOFC002,10.0,MFS-0071,0.4
JOFC002,11.0,MAM-0029,0.2
JOFC002,12.0,MXE-0001,0.1
JOFC002,13.0,MPD-0003,0.1
JOFC002,14.0,MVN-0001,0.06
JOFC002,15.0,MAA-0001,0.02
JOFC002,16.0,MOM-0005,0.01
JOFC002,17.0,MAV-0002,0.01
JOFC002,18.0,MOO-0001,0.01
JOFC002,19.0,MAC-0032,0.01
JOFC002,20.0,MAD-0006,0.01
JOFC002,21.0,MAS-0035,0.01
JOFC002,22.0,MKC-0003,0.01
JOFC002,23.0,MAB-0014,0.01
JOFC002,24.0,MAR-0006,0.01
JOFC002,25.0,MAT-0009,0.01
JOFC002,26.0,MAF-0006,0.01
JOFC002,27.0,MAE-0013,0.01
JOFC003,1.0,MXD-0002,44.32000000000001
JOFC003,2.0,MKG-0001,18.0
JOFC003,3.0,MWM-0006,14.7
JOFC003,4.0,MWP-0009,8.0
JOFC003,5.0,MXK-0002,4.9
JOFC003,6.0,MWL-0003,4.0
JOFC003,7.0,MLM-0003,2.0
JOFC003,8.0,MSA-0007,2.0
JOFC003,9.0,MWW-0001,1.2
JOFC003,10.0,MFS-0046,0.4
JOFC003,11.0,MXE-0001,0.1
JOFC003,12.0,MPD-0003,0.1
JOFC003,13.0,MAS-0028,0.1
JOFC003,14.0,MVN-0001,0.06
JOFC003,15.0,MAA-0001,0.02
JOFC003,16.0,MOM-0005,0.01
JOFC003,17.0,MAV-0002,0.01
JOFC003,18.0,MOO-0001,0.01
JOFC003,19.0,MAA-0002,0.01
JOFC003,20.0,MAH-0018,0.01
JOFC003,21.0,MAB-0014,0.01
JOFC003,22.0,MAR-0006,0.01
JOFC003,23.0,MAT-0009,0.01
JOFC003,24.0,MAF-0006,0.01
JOFC003,25.0,MAE-0013,0.01
JOHC002,1.0,MXD-0002,78.40999999999997
JOHC002,2.0,MOL-0002,8.0
JOHC002,3.0,MKG-0001,4.5
JOHC002,4.0,MWE-0002,2.7
JOHC002,5.0,MWP-0009,1.7
JOHC002,6.0,MSK-0001,1.3
JOHC002,7.0,MST-0001,0.8
JOHC002,8.0,MWM-0002,0.5
JOHC002,9.0,MOD-0004,0.5
JOHC002,10.0,MXT-0001,0.3
JOHC002,11.0,MPP-0005,0.3
JOHC002,12.0,MAM-0029,0.2
JOHC002,13.0,MPD-0003,0.18
JOHC002,14.0,MPD-0004,0.1
JOHC002,15.0,MWV-0001,0.1
JOHC002,16.0,MOO-0001,0.1
JOHC002,17.0,MVC-0003,0.1
JOHC002,18.0,MFS-0071,0.05
JOHC002,19.0,MVN-0001,0.03
JOHC002,20.0,MXE-0001,0.02
JOHC002,21.0,MAN-0001,0.01
JOHC002,22.0,MAV-0002,0.01
JOHC002,23.0,MAC-0032,0.01
JOHC002,24.0,MAD-0006,0.01
JOHC002,25.0,MAS-0035,0.01
JOHC002,26.0,MKC-0003,0.01
JOHC002,27.0,MAB-0014,0.01
JOHC002,28.0,MAR-0006,0.01
JOHC002,29.0,MAT-0009,0.01
JOHC002,30.0,MAF-0006,0.01
JOHC002,31.0,MAE-0013,0.01
JOHC003,1.0,MXD-0002,78.52999999999997
JOHC003,2.0,MOL-0002,8.0
JOHC003,3.0,MKG-0001,4.5
JOHC003,4.0,MWE-0002,2.7
JOHC003,5.0,MWP-0009,1.7
JOHC003,6.0,MSK-0001,1.3
JOHC003,7.0,MST-0001,0.8
JOHC003,8.0,MWM-0002,0.5
JOHC003,9.0,MOD-0004,0.5
JOHC003,10.0,MXT-0001,0.3
JOHC003,11.0,MPP-0005,0.3
JOHC003,12.0,MPD-0003,0.18
JOHC003,13.0,MPD-0004,0.1
JOHC003,14.0,MWV-0001,0.1
JOHC003,15.0,MOO-0001,0.1
JOHC003,16.0,MVC-0003,0.1
JOHC003,17.0,MAS-0028,0.1
JOHC003,18.0,MFS-0046,0.05
JOHC003,19.0,MVN-0001,0.03
JOHC003,20.0,MXE-0001,0.02
JOHC003,21.0,MAN-0001,0.01
JOHC003,22.0,MAV-0002,0.01
JOHC003,23.0,MAA-0002,0.01
JOHC003,24.0,MAH-0018,0.01
JOHC003,25.0,MAB-0014,0.01
JOHC003,26.0,MAR-0006,0.01
JOHC003,27.0,MAT-0009,0.01
JOHC003,28.0,MAF-0006,0.01
JOHC003,29.0,MAE-0013,0.01
JOFT003,1.0,MXD-0002,76.24899999999998
JOFT003,2.0,MOL-0002,7.5
JOFT003,3.0,MKG-0001,5.0
JOFT003,4.0,MWE-0002,2.7
JOFT003,5.0,MKU-0001,2.0
JOFT003,6.0,MWP-0009,1.7
JOFT003,7.0,MSK-0001,1.3
JOFT003,8.0,MWM-0002,0.8
JOFT003,9.0,MST-0001,0.8
JOFT003,10.0,MOD-0004,0.5
JOFT003,11.0,MXT-0001,0.3
JOFT003,12.0,MPP-0005,0.3
JOFT003,13.0,MPD-0003,0.18
JOFT003,14.0,MPD-0004,0.1
JOFT003,15.0,MWV-0001,0.1
JOFT003,16.0,MOO-0001,0.1
JOFT003,17.0,MVC-0003,0.1
JOFT003,18.0,MAS-0028,0.1
JOFT003,19.0,MFS-0046,0.05
JOFT003,20.0,MVN-0001,0.03
JOFT003,21.0,MXE-0001,0.02
JOFT003,22.0,MAA-0002,0.01
JOFT003,23.0,MAH-0018,0.01
JOFT003,24.0,MAB-0014,0.01
JOFT003,25.0,MAR-0006,0.01
JOFT003,26.0,MAT-0009,0.01
JOFT003,27.0,MAF-0006,0.01
JOFT003,28.0,MAE-0013,0.01
JOFT003,29.0,MAV-0002,0.001
PDML001,1.0,MXD-0002,66.42999999999998
PDML001,2.0,MKG-0001,8.0
PDML001,3.0,MON-0001,7.0
PDML001,4.0,MOM-0004,5.0
PDML001,5.0,MK1-0001,4.0
PDML001,6.0,MWL-0001,3.0
PDML001,7.0,MST-0004,2.5
PDML001,8.0,MK1-0002,0.8
PDML001,9.0,MWE-0001,0.6
PDML001,10.0,MSK-0001,0.5
PDML001,11.0,MWS-0001,0.5
PDML001,12.0,MPS-0002,0.5
PDML001,13.0,MAL-0001,0.18
PDML001,14.0,MAA-0001,0.1
PDML001,15.0,MOO-0001,0.1
PDML001,16.0,MOF-0006,0.1
PDML001,17.0,MOM-0005,0.1
PDML001,18.0,MAM-0001,0.1
PDML001,19.0,MAP-0031,0.1
PDML001,20.0,MVC-0003,0.08
PDML001,21.0,MPL-0001,0.06
PDML001,22.0,MXD-0001,0.05
PDML001,23.0,MOJ-0001,0.05
PDML001,24.0,MAV-0002,0.05
PDML001,25.0,MXE-0001,0.03
PDML001,26.0,MFL-0011,0.03
PDML001,27.0,MFS-0097,0.02
PDML001,28.0,MAP-0035,0.02
BTBC003,1.0,MXD-0002,56.71800000000001
BTBC003,2.0,MSM-0004,22.0
BTBC003,3.0,MSM-0003,10.0
BTBC003,4.0,MSM-0013,6.5
BTBC003,5.0,MSM-0011,2.5
BTBC003,6.0,MFB-0029,0.8
BTBC003,7.0,MPS-0003,0.4
BTBC003,8.0,MXN-0003,0.25
BTBC003,9.0,MSR-0002,0.2
BTBC003,10.0,MXC-0001,0.1
BTBC003,11.0,MXE-0001,0.1
BTBC003,12.0,MKP-0001,0.1
BTBC003,13.0,MAT-0011,0.1
BTBC003,14.0,MPL-0001,0.07
BTBC003,15.0,MAH-0018,0.05
BTBC003,16.0,MAP-0033,0.05
BTBC003,17.0,MAS-0029,0.02
BTBC003,18.0,MAH-0006,0.01
BTBC003,19.0,MAO-0006,0.01
BTBC003,20.0,MAS-0031,0.01
BTBC003,21.0,MAA-0030,0.01
BTBC003,22.0,MFR-0004,0.001
BTBC003,23.0,MFM-0010,0.001
