ingredient_code,file_type,original_filename,file_path,file_size
MAB-0015,COA,MAB-0015_Nymphaea Caerulea Flower Extract-PF_영문MSDS.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAB-0015_Nymphaea Caerulea Flower Extract-PF_영문MSDS.pdf,196905
MAB-0015,COA,MAB-0015_푸른연꽃추출물_COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAB-0015_푸른연꽃추출물_COA.pdf,317213
MAB-0016,COA,MAB-0016_Bifida Ferment Extract-HD_COA(ENG).pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAB-0016_Bifida Ferment Extract-HD_COA(ENG).pdf,63420
MAB-0016,COA,MAB-0016_비피다발효추출물-HD.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAB-0016_비피다발효추출물-HD.pdf,690178
MAB-0018,COA,MAB-0018_BioDTox.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAB-0018_BioDTox.pdf,182411
MAB-0018,COA,MAB-0018_BioDTox®_영문COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAB-0018_BioDTox®_영문COA.pdf,144000
MAB-0019,COA,MAB-0019_BRILLAIN MB218_Brilliance_COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAB-0019_BRILLAIN MB218_Brilliance_COA.pdf,47014
MAC-0001,COA,MAC-0001_Chamomile Ext..pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAC-0001_Chamomile Ext..pdf,145056
MAC-0001,COA,MAC-0001_Chamomile Flower Extract_COA(ENG).pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAC-0001_Chamomile Flower Extract_COA(ENG).pdf,63703
MAC-0001,COA,MAC-0001_캐모마일꽃추출물_COA(ENG).pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAC-0001_캐모마일꽃추출물_COA(ENG).pdf,87761
MAC-0001,COA,MAC-0001_캐모마일꽃추출물_COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAC-0001_캐모마일꽃추출물_COA.pdf,84242
MAC-0018,COA,MAC-0018_Ceramide 3B.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAC-0018_Ceramide 3B.pdf,511505
MAC-0018,COA,MAC-0018_DS-CERAMIDE Y30_CRODA_COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAC-0018_DS-CERAMIDE Y30_CRODA_COA.pdf,22217
MAC-0021,COA,MAC-0021_Caffein anhydrous 98.5%_COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAC-0021_Caffein anhydrous 98.5%_COA.pdf,59387
MAC-0038,COA,MAC-0038_크랜베리추출물_영문 COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAC-0038_크랜베리추출물_영문 COA.pdf,419435
MAC-0040,COA,MAC-0040_Centella Asiatica Extract(Madecassoside)_Composition.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAC-0040_Centella Asiatica Extract(Madecassoside)_Composition.pdf,320819
MAC-0040,COA,MAC-0040_Centella Asiatica.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAC-0040_Centella Asiatica.pdf,883126
MAC-0041,COA,MAC-0041_WSS_COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAC-0041_WSS_COA.pdf,31258
