ingredient_code,file_type,original_filename,file_path,file_size,file_extension
MAC-0040,COA,MAC-0040_Centella Asiatica.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAC-0040_Centella Asiatica.pdf,883126,.pdf
MAC-0041,COA,MAC-0041_WSS_COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAC-0041_WSS_COA.pdf,31258,.pdf
MAC-0043,COA,MAC-0043_7K Collagen Complex_CoA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAC-0043_7K Collagen Complex_CoA.pdf,73036,.pdf
MAC-0044,COA,MAC-0044_Calamine powder_COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAC-0044_Calamine powder_COA.pdf,54466,.pdf
MAC-0045,COA,MAC-0045_CHOLESTEROL JP_COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAC-0045_CHOLESTEROL JP_COA.pdf,223601,.pdf
MAD-0002,COA,MAD-0002_DPG_COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAD-0002_DPG_COA.pdf,201410,.pdf
MAD-0002,COA,MAD-0002_STEVITEN LICO DPG_COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAD-0002_STEVITEN LICO DPG_COA.pdf,270610,.pdf
MAD-0012,COA,MAD-0012_당호박추출물.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAD-0012_당호박추출물.pdf,601573,.pdf
MAD-0015,COA,MAD-0015_Dextrose anhydrous 98__DUKSAN_COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAD-0015_Dextrose anhydrous 98__DUKSAN_COA.pdf,97993,.pdf
MAE-0013,COA,MAE-0013_Evas Herb Complex(HD)_SPEC_국문.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAE-0013_Evas Herb Complex(HD)_SPEC_국문.pdf,77649,.pdf
MAE-0013,COA,MAE-0013_Evas Herb Complex(HD)_SPEC_영문.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAE-0013_Evas Herb Complex(HD)_SPEC_영문.pdf,229218,.pdf
MAE-0013,COA,MAE-0013_EVAS Herb Complex.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAE-0013_EVAS Herb Complex.pdf,658296,.pdf
MAE-0013,COA,MAE-0013_EVAS Herb Complex_COA_영문.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAE-0013_EVAS Herb Complex_COA_영문.pdf,308216,.pdf
MAE-0014,COA,MAE-0014_EGF-L10.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAE-0014_EGF-L10.pdf,239325,.pdf
MAE-0015,COA,MAE-0015_에바스-Pro Complex.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAE-0015_에바스-Pro Complex.pdf,596953,.pdf
MAE-0015,COA,MAE-0015_에바스-Pro Complex_영문 COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAE-0015_에바스-Pro Complex_영문 COA.pdf,415405,.pdf
MAE-0016,COA,MAE-0016_유칼립투스추출물_COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAE-0016_유칼립투스추출물_COA.pdf,327300,.pdf
MAE-0016,COA,MAE-0016_유칼립투스추출물_영문COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAE-0016_유칼립투스추출물_영문COA.pdf,419210,.pdf
MAE-0018,COA,MAE-0018_Elastin H-HD.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAE-0018_Elastin H-HD.pdf,312134,.pdf
MAE-0018,COA,MAE-0018_ELASTIN H-HD_COA(ENG).pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAE-0018_ELASTIN H-HD_COA(ENG).pdf,63191,.pdf
MAE-0019,COA,MAE-0019_SPECBIO ECTOIN_COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAE-0019_SPECBIO ECTOIN_COA.pdf,434684,.pdf
MAE-0019,COA,MAE-0019_SpecBio® Ectoine_SPEC.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAE-0019_SpecBio® Ectoine_SPEC.pdf,514764,.pdf
