ingredient_code,ingredient_name,manufacturer,origin_country,purchase_type,purchase_method
MKS-0003,SJ-UNIJEL MS (H),(주)삼정트레이딩,(주)삼정트레이딩,무작위,원료실
MKS-0004,D-Sorbitol,백광산업,(주)비즈켐,무작위,원료실
MKU-0001,"UREA, EP",삼전순약,티앤비상사,무작위,원료실
MKU-0002,Ucon 75H-450(M-hydro BG100),DOW CHEM,(주)블루켐,무작위,원료실
MLL-0001,Lexemul CUTINA EGMS,코그니스,코그니스,무작위,원료실
MLM-0003,Mipearl GS,미원상사,미원상사,무작위,원료실
MO2-0001,ES-108109,Kokyu,(주)케미랜드,무작위,원료실
MOA-0005,Akosun,AAK,다미화학,무작위,원료실
MOA-0007,Akorex L,AAK,다미화학,무작위,원료실
MOA-0008,Argan Oil CPD Organic,DSM,(주)코스빌,무작위,원료실
MOA-0009,Avocado Oil,KERFOOT,(주)블루켐,무작위,원료실
MOA-0010,Annatto Oil Cosmetic Grade,CKARIANT,인투바이오,무작위,원료실
MOA-0011,Apricot Kernel Oil,KERFOOT,㈜블루켐,무작위,원료실
MOB-0002,Borage oil,Biodroga,(주)블루켐,무작위,원료실
MOB-0004,"Buriti Oil(Refinde,RF3810)",Beraca,한주씨앤씨,무작위,원료실
MOB-0005,Blue DDC-50,(주)블루켐,(주)블루켐,무작위,원료실
MOC-0007,Cosmacol EMI,Enichem Augusta,동주화학,무작위,원료실
MOC-0008,ZICOS MO-DCC,코그니스,코그니스코리아,무작위,원료실
MOC-0009,Coconut Oil(야자유),삼양,케이에스켐,무작위,원료실
MOC-0010,Canola Oil,,㈜블루켐,무작위,원료실
MOC-0011,Campo Siddha Inddra Neelam Yenai_Ultra Sky Blue (OSL),campo cosmetics,신우아이시티,무작위,원료실
MOC-0012,Campo Siddha Vepuvillai Karushalai Yenai_Red (OSL),campo cosmetics,신우아이시티,무작위,원료실
MOC-0013,치자홍화추출물 BS-OL,정도화학,정도화학,무작위,원료실
MOD-0004,SF1000N／100cst (DC200-100CS),KCC,미산캠프,무작위,원료실
MOD-0006,SF0015Z (DC 345),KCC,미산캠프,무작위,원료실
MOD-0008,SF1000N／10CS,KCC,미산캠프,무작위,원료실
MOD-0009,Dub DNPG,Stearinerie Dubois Fils,세일 ,무작위,원료실
MOD-0010,Dermofeel BGC,Dr.Straetman,하나무역,무작위,원료실
MOD-0011,DC # 9852L,다우코닝,우진트레이딩,무작위,원료실
MOD-0012,SeraShine EM 125 (SI6065Z),KCC,미산캠프,무작위,원료실
MOD-0013,SM9140G,KCC,미산캠프,무작위,원료실
MOD-0014,DM-HPIB,다미화학,다미화학,무작위,원료실
MOD-0015,DPM,,코스파인,무작위,원료실
MOD-0016,발효동백오일,Biocean,주식회사 에코텍아이앤씨,무작위,원료실
MOD-0017,Haimalate DIS,HAI,주식회사 케이에스켐,무작위,원료실
MOE-0002,Emalex MTS-30L,Nihon Emul,세창상사,무작위,원료실
MOE-0003,Eutanol-G,Henkel,(주)한백씨앤에프,무작위,원료실
MOF-0002,Finsolv TN,Innospec,㈜케미랜드,무작위,원료실
MOF-0004,Flutec PC-6,"Creations 
Couleurs",세창상사,무작위,원료실
MOF-0005,Frescolat ML Cryst,Haarmann&Reimer,바이엘코리아,무작위,원료실
MOF-0006,Florasun-90,Floratech,한주씨앤씨,무작위,원료실
MOH-0001,Hemp Seed Oil,Kerfoot,블루켐,무작위,원료실
MOI-0001,ISODODECANE,INEOS,㈜미산캠프인터내셔널,무작위,원료실
MOJ-0001,Jojoba Golden Oil,Kerfoot,블루켐,무작위,원료실
MOK-0003,MS-Oil 6cst (SF1000N/6cs),미산캠프,미산캠프,무작위,원료실
MOL-0002,LILY 70(LP70),SEOJIN CHEMICAL,삼도케미칼,무작위,원료실
MOL-0003,IPM,IOI OLEOCHEMICAL,㈜블루켐,무작위,원료실
MOL-0005,Lavender Oil,Charabot,사향무역,무작위,원료실
MOL-0007,LP-350,극동유화,삼도케미칼,무작위,원료실
MOM-0004,Mipearl CO,미원상사,미원상사,무작위,원료실
MOM-0005,Macadamia Nut Oil,KERFOOT,㈜블루켐,무작위,원료실
MOM-0006,Myritol 880,코그니스,코그니스코리아,무작위,원료실
MOM-0007,발효마유,Biocean,아로마웰,무작위,원료실
MOM-0008,Moringa Oil Organic,GRENERA,(주)수이케이,무작위,원료실
MOM-0009,MS-Oil PT,(주)미산캠프인터내셔널,(주)미산캠프인터내셔널,무작위,원료실
MOM-0010,MS SIL 6700,DR. Costech,(주)미산캠프인터내셔널,무작위,원료실
MON-0001,MCT(Crodamol GTCC),Ecogreen,㈜블루켐,무작위,원료실
MON-0004,Silkflo 364 NF,INEOS OLIGOMERS,㈜블루켐,무작위,원료실
MOO-0001,Olive Oil (YOLA),KERFOOT,(주)이현에프앤씨,무작위,원료실
MOO-0002,Vergin Omega-3,HUILERIE EMILE NOEL,㈜노바켐,무작위,원료실
MOP-0002,Peanut Oil,Kerfoot,블루켐,무작위,원료실
MOP-0003,PB-1400F,DAELIM,블루켐,무작위,원료실
MOP-0004,Palmsurf 2EHP,IOI OLEOCHEMICAL,블루켐,무작위,원료실
MOR-0001,Rose Hip Oil,KERFOOT,블루켐,무작위,원료실
MOS-0011,Squalane,Kishimoto,(주)케미랜드,무작위,원료실
MOS-0021,Silkflo 364 NF,Ineos,욱성물산,무작위,원료실
MOS-0024,SF 9900N,KCC,미산캠프,무작위,원료실
MOS-0025,SI 6050ZR,KCC,이우바이오,무작위,원료실
MOS-0026,Sweet Almond Oil,Kerfoot,블루켐,무작위,원료실
MOS-0027,SeraSense SF 1K,KCC Silicone,(주)미산캠프인터내셔널,무작위,원료실
MOT-0001,TOG,Kokyu,케미랜드,무작위,원료실
MOT-0002,Tea Tree Oil,MOELLHAUSEN SPA,도터라인,무작위,원료실
MOT-0003,Triethyl Citrate (TEC),Mamta Polycoats,(주)케이원씨앤씨,무작위,원료실
MOH-0002,Hailucent ISDA/MB,KOKYU ALCOHOL KOGYO,케이에스켐,무작위,원료실
MOR-0002,Risorex PGIS23/MB,KOKYU ALCOHOL KOGYO,케이에스켐,무작위,원료실
MOU-0001,유자씨 오일,ULMAX,(주)블루켐,무작위,원료실
MOV-0001,Vitamin F-Glyceric Ester,Provital,신우케미칼,무작위,원료실
MPB-0001,BHT,Ueno Fine,남영상사,무작위,원료실
MPD-0001,Danisol-B,Danil Fine,동주화학,무작위,원료실
MPD-0002,Danisol-E,Danil Fine,정한약품,무작위,원료실
MPD-0003,Methyl Paraben(M.P) [UENO],Ueno,(주)블루켐,무작위,원료실
MPD-0004,Propyl Paraben(P.P) [UENO],Ueno,(주)블루켐,무작위,원료실
MPE-0001,Euxyl K-400,schulke ,솔브리지텍,무작위,원료실
