ingredient_code,file_type,original_filename,storage_path,public_url,status,error,file_size
MAA-0021,COA,MAA-0021_COA(Adenosine)_20211216.pdf,MAA-0021/COA/MAA-0021_COA_003.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0021/COA/MAA-0021_COA_003.pdf,skipped,,136328
MAA-0024,COA,MAA-0024_아카시아추출물-NP_COA.pdf,MAA-0024/COA/MAA-0024_COA_001.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0024/COA/MAA-0024_COA_001.pdf,skipped,,284949
MAA-0021,COA,MAA-0021_Adenosine_COA.pdf,MAA-0021/COA/MAA-0021_COA_002.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0021/COA/MAA-0021_COA_002.pdf,skipped,,296719
MAA-0028,COA,MAA-0028_Azura 3 Complex0001_coa.pdf,MAA-0028/COA/MAA-0028_COA_002.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0028/COA/MAA-0028_COA_002.pdf,skipped,,279799
MAA-0028,COA,MAA-0028_Azura 3 Complex0001.pdf,MAA-0028/COA/MAA-0028_COA_001.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0028/COA/MAA-0028_COA_001.pdf,skipped,,684063
MAA-0028,COA,MAA-0028_Azure 3 Complex_영문 COA.pdf,MAA-0028/COA/MAA-0028_COA_003.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0028/COA/MAA-0028_COA_003.pdf,skipped,,415372
MAA-0032,COA,MAA-0032_아로니아열매 추출물 H.pdf,MAA-0032/COA/MAA-0032_COA_001.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0032/COA/MAA-0032_COA_001.pdf,skipped,,635293
MAA-0033,COA,MAA-0033_악마의발톱뿌리추출물-PF.pdf,MAA-0033/COA/MAA-0033_COA_001.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0033/COA/MAA-0033_COA_001.pdf,skipped,,612338
MAA-0034,COA,MAA-0034_은행나무잎추출물.pdf,MAA-0034/COA/MAA-0034_COA_001.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0034/COA/MAA-0034_COA_001.pdf,skipped,,610889
MAA-0034,COA,MAA-0034_은행나무잎추출물_COA.pdf,MAA-0034/COA/MAA-0034_COA_002.pdf,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAA-0034/COA/MAA-0034_COA_002.pdf,skipped,,129644
