ingredient_code,coa_urls,coa_count,composition_urls,composition_count,msds_kr_urls,msds_kr_count,msds_en_urls,msds_en_count,total_files
MKP-0005,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKP-0005/COA/MKP-0005_COA_001.pdf"", ""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKP-0005/COA/MKP-0005_COA_002.pdf""]",2,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKP-0005/COMP/MKP-0005_COMP_001.pdf""]",1,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKP-0005/MSDS_KR/MKP-0005_MSDS_KR_001.pdf"", ""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKP-0005/MSDS_KR/MKP-0005_MSDS_KR_003.pdf"", ""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKP-0005/MSDS_KR/MKP-0005_MSDS_KR_002.pdf""]",3,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKP-0005/MSDS_EN/MKP-0005_MSDS_EN_001.pdf"", ""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKP-0005/MSDS_EN/MKP-0005_MSDS_EN_002.pdf""]",2,8
MKS-0002,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKS-0002/COA/MKS-0002_COA_001.pdf""]",1,[],0,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKS-0002/MSDS_KR/MKS-0002_MSDS_KR_001.pdf""]",1,[],0,2
MKS-0003,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKS-0003/COA/MKS-0003_COA_001.pdf""]",1,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKS-0003/COMP/MKS-0003_COMP_001.pdf""]",1,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKS-0003/MSDS_KR/MKS-0003_MSDS_KR_001.pdf""]",1,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKS-0003/MSDS_EN/MKS-0003_MSDS_EN_001.pdf""]",1,4
MKS-0004,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKS-0004/COA/MKS-0004_COA_001.pdf"", ""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKS-0004/COA/MKS-0004_COA_002.pdf""]",2,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKS-0004/COMP/MKS-0004_COMP_001.pdf""]",1,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKS-0004/MSDS_KR/MKS-0004_MSDS_KR_001.pdf""]",1,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKS-0004/MSDS_EN/MKS-0004_MSDS_EN_001.pdf""]",1,5
MKU-0001,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKU-0001/COA/MKU-0001_COA_001.pdf""]",1,[],0,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKU-0001/MSDS_KR/MKU-0001_MSDS_KR_001.pdf""]",1,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKU-0001/MSDS_EN/MKU-0001_MSDS_EN_001.pdf""]",1,3
MKU-0002,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKU-0002/COA/MKU-0002_COA_001.pdf""]",1,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKU-0002/COMP/MKU-0002_COMP_001.pdf""]",1,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKU-0002/MSDS_KR/MKU-0002_MSDS_KR_001.pdf"", ""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKU-0002/MSDS_KR/MKU-0002_MSDS_KR_002.pdf""]",2,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MKU-0002/MSDS_EN/MKU-0002_MSDS_EN_001.pdf""]",1,5
MLM-0003,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MLM-0003/COA/MLM-0003_COA_001.pdf""]",1,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MLM-0003/COMP/MLM-0003_COMP_001.pdf""]",1,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MLM-0003/MSDS_KR/MLM-0003_MSDS_KR_001.pdf"", ""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MLM-0003/MSDS_KR/MLM-0003_MSDS_KR_002.pdf""]",2,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MLM-0003/MSDS_EN/MLM-0003_MSDS_EN_001.pdf""]",1,5
MO2-0001,[],0,[],0,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MO2-0001/MSDS_KR/MO2-0001_MSDS_KR_001.pdf""]",1,[],0,1
MOA-0005,[],0,[],0,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MOA-0005/MSDS_KR/MOA-0005_MSDS_KR_001.pdf""]",1,[],0,1
MOA-0008,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MOA-0008/COA/MOA-0008_COA_001.pdf""]",1,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MOA-0008/COMP/MOA-0008_COMP_001.pdf""]",1,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MOA-0008/MSDS_KR/MOA-0008_MSDS_KR_001.pdf""]",1,"[""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MOA-0008/MSDS_EN/MOA-0008_MSDS_EN_002.pdf"", ""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MOA-0008/MSDS_EN/MOA-0008_MSDS_EN_001.pdf"", ""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MOA-0008/MSDS_EN/MOA-0008_MSDS_EN_003.pdf""]",3,6
