id,ingredient_code,component_order,inci_name_en,inci_name_kr,cas_number,composition_ratio,function,country_of_origin,created_at
097198e2-afd7-49ba-afdd-75b6b47a9f2f,MAS-0040,3,Saccharum Officinarum (Sugarcane) Extract,사탕수수추출물,91722-22-4,0.5000,Skin Conditioning Agent,대한민국,2026-01-28 16:37:16.589765+00
0982db3f-9837-4478-bea6-99558413a9fe,MFS-0046,1,Fragrance,향료,-,100.0000,Fragrance,,2026-01-28 16:37:18.006524+00
0986327b-2027-4248-af8b-85614f88d3cc,MAL-0021,2,Propanediol,프로판다이올,504-63-2,40.0000,Skin Conditioning Agent,대한민국,2026-01-28 16:37:16.589765+00
09cc90ea-1939-4326-8073-a6e769773b95,MAJ-0002,1,Water,정제수,7732-18-5,55.0000,Skin Conditioning Agent,대한민국,2026-01-28 16:37:16.589765+00
0a0225d0-4a9d-4823-92c2-4bc6509ffdda,MAF-0008,1,Water,정제수,7732-18-5,60.0000,Skin Conditioning Agent,덴마크,2026-01-28 16:37:16.589765+00
0a465230-a616-4d22-a0fd-a136f589b207,MFB-0059,1,Fragrance,향료,-,100.0000,Fragrance,대한민국,2026-01-28 16:37:16.589765+00
0a610da2-96c1-40c5-99c3-4e94fa68b31e,MAI-0003,2,Glycyrrhiza Glabra (Licorice) Root Extract,감초뿌리추출물,84775-66-6,1.0000,Skin Conditioning Agent,대한민국,2026-01-28 16:37:16.589765+00
0a6c080f-b66d-4f45-85b0-e96b3b3930ec,MAV-0006,3,Glycerin,글리세린,56-81-5,0.0000,Skin Conditioning Agent,,2026-01-28 16:37:16.589765+00
0a8735cc-187e-455e-ab36-28ab629e4b67,MVL-0001,1,Water,정제수,7732-18-5,0.0000,Skin Conditioning Agent,미국,2026-01-28 16:37:18.006524+00
0ab7462f-6a28-4622-93e6-230f1aee7b9e,MAP-0011,1,Water,정제수,7732-18-5,90.5000,Skin Conditioning Agent,대한민국,2026-01-28 16:37:16.589765+00
0ac1c898-1b34-42d4-8636-e128f39708cd,MAA-0034,2,Butylene Glycol,부틸렌글라이콜,107-88-0,40.0000,Skin Conditioning Agent,대한민국,2026-01-28 16:37:16.589765+00
0ac51c33-1143-445c-9bd0-01e29d77030f,MAS-0030,1,Pinus Densiflora Leaf Powder,소나무잎가루,-,100.0000,Skin Conditioning Agent,,2026-01-28 16:37:16.589765+00
0ad3d242-6580-4c4c-976c-876962de7db7,MFK-0024,1,Fragrance,향료,-,100.0000,Fragrance,,2026-01-28 16:37:16.589765+00
0ae80062-19e4-4db6-a125-7dc88ca60fb4,MXB-0005,2,Bisabolol,비사보롤,23089-26-1,9.0000,Skin Conditioning Agent,대한민국,2026-01-28 16:37:18.006524+00
0aef8539-775c-4018-86cd-899e98acbf48,MAY-0008,3,Brassica Oleracea Capitata (Cabbage) Leaf Extract,양배추추출물,89958-13-4,10.0000,Skin Conditioning Agent,대한민국,2026-01-28 16:37:16.589765+00
0af1637b-7514-47a4-96ce-684f56a3b6f0,MAG-0030,3,Swiftlet Nest Extract,금사연둥지추출물,-,0.4000,Skin conditioning,대한민국,2026-01-28 16:37:16.589765+00
0b3a0b69-2e8c-44f2-a6c1-b56ac347dde1,MPG-0005,1,DMDM Hydantoin,디엠디엠하이단토인,6440-58-0,100.0000,Preservative,,2026-01-28 16:37:18.006524+00
0b3e2085-a258-445f-a8bc-57a518a519f9,MFP-0033,1,Fragrance,향료,-,100.0000,Fragrance,대한민국,2026-01-28 16:37:18.006524+00
