공급업체,향료코드,향료명,알러젠명,INCI명,CAS번호,향료중함량,제품중함량,Leave-on라벨,Rinse-off라벨,파일명
한불화농 향알러지데이타 20190307,15194,BODY CLEANSER A15194/R,LINALOOL,LINALOOL,78-70-6,,,YES,YES,BODY CLEANSER A15194R ALLERGEN.xlsx
한불화농 향알러지데이타 20190307,15194,BODY CLEANSER A15194/R,LYRAL,LYRAL,31906-04-4,,,,,BODY CLEANSER A15194R ALLERGEN.xlsx
한불화농 향알러지데이타 20190307,15194,BODY CLEANSER A15194/R,LYSMERAL,LYSMERAL,80-54-6,,,,,BODY CLEANSER A15194R ALLERGEN.xlsx
한불화농 향알러지데이타 20190307,15194,BODY CLEANSER A15194/R,METHYL HEPTINE CARBONATE,METHYL HEPTINE CARBONATE,111-12-6,,,,,BODY CLEANSER A15194R ALLERGEN.xlsx
한불화농 향알러지데이타 20190307,15194,BODY CLEANSER A15194/R,OAKMOSS EXTRACT,OAKMOSS EXTRACT,90028-68-5,,,,,BODY CLEANSER A15194R ALLERGEN.xlsx
한불화농 향알러지데이타 20190307,15194,BODY CLEANSER A15194/R,TREEMOSS EXTRACT,TREEMOSS EXTRACT,90028-67-4,,,,,BODY CLEANSER A15194R ALLERGEN.xlsx
한불화농 향알러지데이타 20190307,15752,BODY CLEANSER  A15752/R1,ALPHA-ISOMETHYL IONONE,ALPHA-ISOMETHYL IONONE,127-51-5,,,,,BODY CLEANSER A15752R1 (ALLERGEN).xlsx
한불화농 향알러지데이타 20190307,15752,BODY CLEANSER  A15752/R1,AMYL CINNAMAL,AMYL CINNAMAL,122-40-7,,,,,BODY CLEANSER A15752R1 (ALLERGEN).xlsx
한불화농 향알러지데이타 20190307,15752,BODY CLEANSER  A15752/R1,AMYLCINNAMYL ALCOHOL,AMYLCINNAMYL ALCOHOL,101-85-9,,,,,BODY CLEANSER A15752R1 (ALLERGEN).xlsx
한불화농 향알러지데이타 20190307,15752,BODY CLEANSER  A15752/R1,ANISYL ALCOHOL,ANISYL ALCOHOL,105-13-5,,,,,BODY CLEANSER A15752R1 (ALLERGEN).xlsx
한불화농 향알러지데이타 20190307,15752,BODY CLEANSER  A15752/R1,BENZYL ALCOHOL,BENZYL ALCOHOL,100-51-6,,,,,BODY CLEANSER A15752R1 (ALLERGEN).xlsx
한불화농 향알러지데이타 20190307,15752,BODY CLEANSER  A15752/R1,BENZYL BENZOATE,BENZYL BENZOATE,120-51-4,,,,,BODY CLEANSER A15752R1 (ALLERGEN).xlsx
한불화농 향알러지데이타 20190307,15752,BODY CLEANSER  A15752/R1,BENZYL CINNAMATE,BENZYL CINNAMATE,103-41-3,,,,,BODY CLEANSER A15752R1 (ALLERGEN).xlsx
한불화농 향알러지데이타 20190307,15752,BODY CLEANSER  A15752/R1,BENZYL SALICYLATE,BENZYL SALICYLATE,118-58-1,,,,,BODY CLEANSER A15752R1 (ALLERGEN).xlsx
한불화농 향알러지데이타 20190307,15752,BODY CLEANSER  A15752/R1,CINNAMAL,CINNAMAL,104-55-2,,,,,BODY CLEANSER A15752R1 (ALLERGEN).xlsx
한불화농 향알러지데이타 20190307,15752,BODY CLEANSER  A15752/R1,CINNAMYL ALCOHOL,CINNAMYL ALCOHOL,104-54-1,,,,,BODY CLEANSER A15752R1 (ALLERGEN).xlsx
한불화농 향알러지데이타 20190307,15752,BODY CLEANSER  A15752/R1,CITRAL,CITRAL,5392-40-5,,,,,BODY CLEANSER A15752R1 (ALLERGEN).xlsx
한불화농 향알러지데이타 20190307,15752,BODY CLEANSER  A15752/R1,CITRONELLOL,CITRONELLOL,106-22-9,,,,,BODY CLEANSER A15752R1 (ALLERGEN).xlsx
한불화농 향알러지데이타 20190307,15752,BODY CLEANSER  A15752/R1,COUMARINE,COUMARINE,91-64-5,,,,,BODY CLEANSER A15752R1 (ALLERGEN).xlsx
한불화농 향알러지데이타 20190307,15752,BODY CLEANSER  A15752/R1,d-LIMONENE,d-LIMONENE,5989-27-5,,,,,BODY CLEANSER A15752R1 (ALLERGEN).xlsx
한불화농 향알러지데이타 20190307,15752,BODY CLEANSER  A15752/R1,EUGENOL,EUGENOL,97-53-0,,,,,BODY CLEANSER A15752R1 (ALLERGEN).xlsx
한불화농 향알러지데이타 20190307,15752,BODY CLEANSER  A15752/R1,FARNESOL,FARNESOL,4602-84-0,,,,,BODY CLEANSER A15752R1 (ALLERGEN).xlsx
한불화농 향알러지데이타 20190307,15752,BODY CLEANSER  A15752/R1,GERANIOL,GERANIOL,106-24-1,,,,,BODY CLEANSER A15752R1 (ALLERGEN).xlsx
한불화농 향알러지데이타 20190307,15752,BODY CLEANSER  A15752/R1,HEXYL CINNAMAL,HEXYL CINNAMAL,101-86-0,,,,,BODY CLEANSER A15752R1 (ALLERGEN).xlsx
