공급업체,향료코드,향료명,알러젠명,INCI명,CAS번호,향료중함량,제품중함량,Leave-on라벨,Rinse-off라벨,파일명
도터라인,,Patchouli Oil,EUGENOL,EUGENOL,97-53-0,,,NO,NO,Patchouli Oil Allergen Date.xlsx
도터라인,,Patchouli Oil,FARNESOL,FARNESOL,4602-84-0,,,,,Patchouli Oil Allergen Date.xlsx
도터라인,,Patchouli Oil,GERANIOL,GERANIOL,106-24-1,,,,,Patchouli Oil Allergen Date.xlsx
도터라인,,Patchouli Oil,HEXYL CINNAMAL,HEXYL CINNAMAL,101-86-0,,,,,Patchouli Oil Allergen Date.xlsx
도터라인,,Patchouli Oil,HYDROXYCITRONELLAL,HYDROXYCITRONELLAL,107-75-5,,,,,Patchouli Oil Allergen Date.xlsx
도터라인,,Patchouli Oil,ISOEUGENOL,ISOEUGENOL,97-54-1,,,,,Patchouli Oil Allergen Date.xlsx
도터라인,,Patchouli Oil,LINALOOL,LINALOOL,78-70-6,,,NO,NO,Patchouli Oil Allergen Date.xlsx
도터라인,,Patchouli Oil,LYRAL,LYRAL,31906-04-4,,,,,Patchouli Oil Allergen Date.xlsx
도터라인,,Patchouli Oil,LYSMERAL,LYSMERAL,80-54-6,,,,,Patchouli Oil Allergen Date.xlsx
도터라인,,Patchouli Oil,METHYL HEPTINE CARBONATE,METHYL HEPTINE CARBONATE,111-12-6,,,,,Patchouli Oil Allergen Date.xlsx
도터라인,,Patchouli Oil,OAKMOSS EXTRACT,OAKMOSS EXTRACT,90028-68-5,,,,,Patchouli Oil Allergen Date.xlsx
도터라인,,Patchouli Oil,TREEMOSS EXTRACT,TREEMOSS EXTRACT,90028-67-4,,,,,Patchouli Oil Allergen Date.xlsx
도터라인,,Peppermint Oil,ALPHA-ISOMETHYL IONONE,ALPHA-ISOMETHYL IONONE,127-51-5,,,,,Peppermint Oil.xlsx
도터라인,,Peppermint Oil,AMYL CINNAMAL,AMYL CINNAMAL,122-40-7,,,,,Peppermint Oil.xlsx
도터라인,,Peppermint Oil,AMYLCINNAMYL ALCOHOL,AMYLCINNAMYL ALCOHOL,101-85-9,,,,,Peppermint Oil.xlsx
도터라인,,Peppermint Oil,ANISYL ALCOHOL,ANISYL ALCOHOL,105-13-5,,,,,Peppermint Oil.xlsx
도터라인,,Peppermint Oil,BENZYL ALCOHOL,BENZYL ALCOHOL,100-51-6,,,,,Peppermint Oil.xlsx
도터라인,,Peppermint Oil,BENZYL BENZOATE,BENZYL BENZOATE,120-51-4,,,,,Peppermint Oil.xlsx
도터라인,,Peppermint Oil,BENZYL CINNAMATE,BENZYL CINNAMATE,103-41-3,,,,,Peppermint Oil.xlsx
도터라인,,Peppermint Oil,BENZYL SALICYLATE,BENZYL SALICYLATE,118-58-1,,,,,Peppermint Oil.xlsx
도터라인,,Peppermint Oil,CINNAMAL,CINNAMAL,104-55-2,,,,,Peppermint Oil.xlsx
도터라인,,Peppermint Oil,CINNAMYL ALCOHOL,CINNAMYL ALCOHOL,104-54-1,,,,,Peppermint Oil.xlsx
도터라인,,Peppermint Oil,CITRAL,CITRAL,5392-40-5,,,,,Peppermint Oil.xlsx
도터라인,,Peppermint Oil,CITRONELLOL,CITRONELLOL,106-22-9,,,,,Peppermint Oil.xlsx
도터라인,,Peppermint Oil,COUMARINE,COUMARINE,91-64-5,,,,,Peppermint Oil.xlsx
도터라인,,Peppermint Oil,d-LIMONENE,d-LIMONENE,5989-27-5,,,YES,YES,Peppermint Oil.xlsx
도터라인,,Peppermint Oil,EUGENOL,EUGENOL,97-53-0,,,,,Peppermint Oil.xlsx
도터라인,,Peppermint Oil,FARNESOL,FARNESOL,4602-84-0,,,,,Peppermint Oil.xlsx
도터라인,,Peppermint Oil,GERANIOL,GERANIOL,106-24-1,,,,,Peppermint Oil.xlsx
도터라인,,Peppermint Oil,HEXYL CINNAMAL,HEXYL CINNAMAL,101-86-0,,,,,Peppermint Oil.xlsx
도터라인,,Peppermint Oil,HYDROXYCITRONELLAL,HYDROXYCITRONELLAL,107-75-5,,,,,Peppermint Oil.xlsx
도터라인,,Peppermint Oil,ISOEUGENOL,ISOEUGENOL,97-54-1,,,,,Peppermint Oil.xlsx
도터라인,,Peppermint Oil,LINALOOL,LINALOOL,78-70-6,,,YES,NO,Peppermint Oil.xlsx
도터라인,,Peppermint Oil,LYRAL,LYRAL,31906-04-4,,,,,Peppermint Oil.xlsx
도터라인,,Peppermint Oil,LYSMERAL,LYSMERAL,80-54-6,,,,,Peppermint Oil.xlsx
도터라인,,Peppermint Oil,METHYL HEPTINE CARBONATE,METHYL HEPTINE CARBONATE,111-12-6,,,,,Peppermint Oil.xlsx
도터라인,,Peppermint Oil,OAKMOSS EXTRACT,OAKMOSS EXTRACT,90028-68-5,,,,,Peppermint Oil.xlsx
도터라인,,Peppermint Oil,TREEMOSS EXTRACT,TREEMOSS EXTRACT,90028-67-4,,,,,Peppermint Oil.xlsx
도터라인,,Petitgrain Essential Oil paraguay,ALPHA-ISOMETHYL IONONE,ALPHA-ISOMETHYL IONONE,127-51-5,,,,,Petitgrain Oil Allergen Data.xlsx
도터라인,,Petitgrain Essential Oil paraguay,AMYL CINNAMAL,AMYL CINNAMAL,122-40-7,,,,,Petitgrain Oil Allergen Data.xlsx
도터라인,,Petitgrain Essential Oil paraguay,AMYLCINNAMYL ALCOHOL,AMYLCINNAMYL ALCOHOL,101-85-9,,,,,Petitgrain Oil Allergen Data.xlsx
도터라인,,Petitgrain Essential Oil paraguay,ANISYL ALCOHOL,ANISYL ALCOHOL,105-13-5,,,,,Petitgrain Oil Allergen Data.xlsx
도터라인,,Petitgrain Essential Oil paraguay,BENZYL ALCOHOL,BENZYL ALCOHOL,100-51-6,,,,,Petitgrain Oil Allergen Data.xlsx
도터라인,,Petitgrain Essential Oil paraguay,BENZYL BENZOATE,BENZYL BENZOATE,120-51-4,,,,,Petitgrain Oil Allergen Data.xlsx
도터라인,,Petitgrain Essential Oil paraguay,BENZYL CINNAMATE,BENZYL CINNAMATE,103-41-3,,,,,Petitgrain Oil Allergen Data.xlsx
도터라인,,Petitgrain Essential Oil paraguay,BENZYL SALICYLATE,BENZYL SALICYLATE,118-58-1,,,,,Petitgrain Oil Allergen Data.xlsx
도터라인,,Petitgrain Essential Oil paraguay,CINNAMAL,CINNAMAL,104-55-2,,,,,Petitgrain Oil Allergen Data.xlsx
도터라인,,Petitgrain Essential Oil paraguay,CINNAMYL ALCOHOL,CINNAMYL ALCOHOL,104-54-1,,,,,Petitgrain Oil Allergen Data.xlsx
도터라인,,Petitgrain Essential Oil paraguay,CITRAL,CITRAL,5392-40-5,,,NO,NO,Petitgrain Oil Allergen Data.xlsx
도터라인,,Petitgrain Essential Oil paraguay,CITRONELLOL,CITRONELLOL,106-22-9,,,NO,NO,Petitgrain Oil Allergen Data.xlsx
도터라인,,Petitgrain Essential Oil paraguay,COUMARINE,COUMARINE,91-64-5,,,,,Petitgrain Oil Allergen Data.xlsx
도터라인,,Petitgrain Essential Oil paraguay,d-LIMONENE,d-LIMONENE,5989-27-5,,,NO,NO,Petitgrain Oil Allergen Data.xlsx
도터라인,,Petitgrain Essential Oil paraguay,EUGENOL,EUGENOL,97-53-0,,,,,Petitgrain Oil Allergen Data.xlsx
도터라인,,Petitgrain Essential Oil paraguay,FARNESOL,FARNESOL,4602-84-0,,,,,Petitgrain Oil Allergen Data.xlsx
도터라인,,Petitgrain Essential Oil paraguay,GERANIOL,GERANIOL,106-24-1,,,NO,NO,Petitgrain Oil Allergen Data.xlsx
도터라인,,Petitgrain Essential Oil paraguay,HEXYL CINNAMAL,HEXYL CINNAMAL,101-86-0,,,,,Petitgrain Oil Allergen Data.xlsx
도터라인,,Petitgrain Essential Oil paraguay,HYDROXYCITRONELLAL,HYDROXYCITRONELLAL,107-75-5,,,,,Petitgrain Oil Allergen Data.xlsx
도터라인,,Petitgrain Essential Oil paraguay,ISOEUGENOL,ISOEUGENOL,97-54-1,,,,,Petitgrain Oil Allergen Data.xlsx
도터라인,,Petitgrain Essential Oil paraguay,LINALOOL,LINALOOL,78-70-6,,,YES,NO,Petitgrain Oil Allergen Data.xlsx
