공급업체,향료코드,향료명,알러젠명,INCI명,CAS번호,향료중함량,제품중함량,Leave-on라벨,Rinse-off라벨,파일명
타임향료,200602,ESSENTIAL COMPLEX 200602,Oakmoss Extract,Oakmoss Extract,90028-68-5,0,,,,ESSENTIAL COMPLEX 200602 ALLERGENS CERTIFIED.xls
타임향료,200602,ESSENTIAL COMPLEX 200602,Farnesol,Farnesol,4602-84-0,0,,,,ESSENTIAL COMPLEX 200602 ALLERGENS CERTIFIED.xls
타임향료,200602,ESSENTIAL COMPLEX 200602,Geraniol,Geraniol,106-24-1,0.00383,,NO,NO,ESSENTIAL COMPLEX 200602 ALLERGENS CERTIFIED.xls
타임향료,200602,ESSENTIAL COMPLEX 200602,Hexyl Cinnamic Aldehyde,Hexyl cinnam-aldehyde,101-86-0,0,,,,ESSENTIAL COMPLEX 200602 ALLERGENS CERTIFIED.xls
타임향료,200602,ESSENTIAL COMPLEX 200602,Hydroxycitronellal,Hydroxycitronellal,107-75-5,0,,,,ESSENTIAL COMPLEX 200602 ALLERGENS CERTIFIED.xls
타임향료,200602,ESSENTIAL COMPLEX 200602,Lyral,Hydroxymethylpentylcyclohexane Carboxaldehyde,31906-04-4,0,,,,ESSENTIAL COMPLEX 200602 ALLERGENS CERTIFIED.xls
타임향료,200602,ESSENTIAL COMPLEX 200602,Isoeugenol,Isoeugenol,97-54-1,0,,,,ESSENTIAL COMPLEX 200602 ALLERGENS CERTIFIED.xls
타임향료,200602,ESSENTIAL COMPLEX 200602,D-Limonene,D-Limonene,5989-27-5,0.50826,,YES,YES,ESSENTIAL COMPLEX 200602 ALLERGENS CERTIFIED.xls
타임향료,200602,ESSENTIAL COMPLEX 200602,Linalool,Linalool,78-70-6,0.00843,,NO,NO,ESSENTIAL COMPLEX 200602 ALLERGENS CERTIFIED.xls
타임향료,200602,ESSENTIAL COMPLEX 200602,Folione,Methyl Heptin Carbonate,111-12-6,0,,,,ESSENTIAL COMPLEX 200602 ALLERGENS CERTIFIED.xls
타임향료,190601,ESSENTIAL COMPLEX 190601,Alpha Iso Methyl Ionone (Methyl Ionone Gamma),Alpha-Isomethyl Ionone,127-51-5,0,,,,MFE-0019_ESSENTIAL COMPLEX 190601 ALLERGENS CERTIFIED_stamp.xls
타임향료,190601,ESSENTIAL COMPLEX 190601,Amyl Cinnamic Aldehyde,Amyl Cinnamal,122-40-7,0,,,,MFE-0019_ESSENTIAL COMPLEX 190601 ALLERGENS CERTIFIED_stamp.xls
타임향료,190601,ESSENTIAL COMPLEX 190601,Amyl Cinnamic Alcohol,Amyl Cinamyl Alcohol,101-85-9,0,,,,MFE-0019_ESSENTIAL COMPLEX 190601 ALLERGENS CERTIFIED_stamp.xls
타임향료,190601,ESSENTIAL COMPLEX 190601,Anisyl Alcohol,Anisyl Alcohol,105-13-5,0,,,,MFE-0019_ESSENTIAL COMPLEX 190601 ALLERGENS CERTIFIED_stamp.xls
타임향료,190601,ESSENTIAL COMPLEX 190601,Benzyl Alcohol,Benzyl Alcohol,100-51-6,5e-05,,NO,NO,MFE-0019_ESSENTIAL COMPLEX 190601 ALLERGENS CERTIFIED_stamp.xls
타임향료,190601,ESSENTIAL COMPLEX 190601,Benzyl Benzoate,Benzyl Benzoate,120-51-4,0.006,,NO,NO,MFE-0019_ESSENTIAL COMPLEX 190601 ALLERGENS CERTIFIED_stamp.xls
타임향료,190601,ESSENTIAL COMPLEX 190601,Benzyl Cinnamate,Benzyl Cinnamate,103-41-3,0,,,,MFE-0019_ESSENTIAL COMPLEX 190601 ALLERGENS CERTIFIED_stamp.xls
타임향료,190601,ESSENTIAL COMPLEX 190601,Benzyl Salicylate,Benzyl Salicylate,118-58-1,0.0025,,NO,NO,MFE-0019_ESSENTIAL COMPLEX 190601 ALLERGENS CERTIFIED_stamp.xls
타임향료,190601,ESSENTIAL COMPLEX 190601,Lilial,2-(4-tert-Butylbenzyl)Propionaldehyde,80-54-6,0,,,,MFE-0019_ESSENTIAL COMPLEX 190601 ALLERGENS CERTIFIED_stamp.xls
타임향료,190601,ESSENTIAL COMPLEX 190601,Cinnamic Aldehyde,Cinnamal,104-55-2,0,,,,MFE-0019_ESSENTIAL COMPLEX 190601 ALLERGENS CERTIFIED_stamp.xls
타임향료,190601,ESSENTIAL COMPLEX 190601,Cinnamic Alcohol,Cinnamyl Alcohol,104-54-1,0,,,,MFE-0019_ESSENTIAL COMPLEX 190601 ALLERGENS CERTIFIED_stamp.xls
타임향료,190601,ESSENTIAL COMPLEX 190601,Citral,Citral,5392-40-5,0.005935,,NO,NO,MFE-0019_ESSENTIAL COMPLEX 190601 ALLERGENS CERTIFIED_stamp.xls
타임향료,190601,ESSENTIAL COMPLEX 190601,Citronellol,Citronellol,106-22-9,0.01889,,YES,NO,MFE-0019_ESSENTIAL COMPLEX 190601 ALLERGENS CERTIFIED_stamp.xls
타임향료,190601,ESSENTIAL COMPLEX 190601,Coumarin,Coumarin,91-64-5,0.0001,,NO,NO,MFE-0019_ESSENTIAL COMPLEX 190601 ALLERGENS CERTIFIED_stamp.xls
타임향료,190601,ESSENTIAL COMPLEX 190601,Eugenol,Eugenol,97-53-0,0.000575,,NO,NO,MFE-0019_ESSENTIAL COMPLEX 190601 ALLERGENS CERTIFIED_stamp.xls
타임향료,190601,ESSENTIAL COMPLEX 190601,Treemoss Extract,Treemoss Extract,90028-67-4,0,,,,MFE-0019_ESSENTIAL COMPLEX 190601 ALLERGENS CERTIFIED_stamp.xls
타임향료,190601,ESSENTIAL COMPLEX 190601,Oakmoss Extract,Oakmoss Extract,90028-68-5,0,,,,MFE-0019_ESSENTIAL COMPLEX 190601 ALLERGENS CERTIFIED_stamp.xls
타임향료,190601,ESSENTIAL COMPLEX 190601,Farnesol,Farnesol,4602-84-0,0.002,,NO,NO,MFE-0019_ESSENTIAL COMPLEX 190601 ALLERGENS CERTIFIED_stamp.xls
타임향료,190601,ESSENTIAL COMPLEX 190601,Geraniol,Geraniol,106-24-1,0.010595,,YES,NO,MFE-0019_ESSENTIAL COMPLEX 190601 ALLERGENS CERTIFIED_stamp.xls
타임향료,190601,ESSENTIAL COMPLEX 190601,Hexyl Cinnamic Aldehyde,Hexyl cinnam-aldehyde,101-86-0,0,,,,MFE-0019_ESSENTIAL COMPLEX 190601 ALLERGENS CERTIFIED_stamp.xls
타임향료,190601,ESSENTIAL COMPLEX 190601,Hydroxycitronellal,Hydroxycitronellal,107-75-5,0,,,,MFE-0019_ESSENTIAL COMPLEX 190601 ALLERGENS CERTIFIED_stamp.xls
타임향료,190601,ESSENTIAL COMPLEX 190601,Lyral,Hydroxymethylpentylcyclohexane Carboxaldehyde,31906-04-4,0,,,,MFE-0019_ESSENTIAL COMPLEX 190601 ALLERGENS CERTIFIED_stamp.xls
타임향료,190601,ESSENTIAL COMPLEX 190601,Isoeugenol,Isoeugenol,97-54-1,0.000515,,NO,NO,MFE-0019_ESSENTIAL COMPLEX 190601 ALLERGENS CERTIFIED_stamp.xls
