fragrance_id,allergen_id,content_in_fragrance,content_in_product,leave_on_label,rinse_off_label
af42ca70-8667-4f7a-a22e-1b13495fbab0,a4b0f562-51cf-4b61-bb17-668ca92afe2f,,,,
af42ca70-8667-4f7a-a22e-1b13495fbab0,7f1910f0-0e8f-4cb3-8c8b-59af3eec22d2,0.33337,0.00066674,YES,YES
af42ca70-8667-4f7a-a22e-1b13495fbab0,0758c966-c761-4a2e-8d90-e819995343aa,,,,
af42ca70-8667-4f7a-a22e-1b13495fbab0,ad91248d-c692-49e7-8610-b50344f74a54,,,,
af42ca70-8667-4f7a-a22e-1b13495fbab0,3b9366e2-f191-46f8-877d-04f1c8a0a86e,,,,
af42ca70-8667-4f7a-a22e-1b13495fbab0,a441ba50-6b22-4212-ae49-8db580ce6964,,,,
af42ca70-8667-4f7a-a22e-1b13495fbab0,9c50fb09-2f88-41e8-9ade-bd95352e2fd0,,,,
390b5c8a-6491-4644-91a0-70036cb64a1f,006bd578-91fd-4e0e-a536-e211e02c5cec,1.8,,,
390b5c8a-6491-4644-91a0-70036cb64a1f,6f4e1b11-60e9-4e71-a82e-4b0f949a89a9,,,,
390b5c8a-6491-4644-91a0-70036cb64a1f,39d9f0e6-a6cf-42a2-9004-08120c481715,,,,
390b5c8a-6491-4644-91a0-70036cb64a1f,868617cd-6b4a-4590-bd7f-ef3fa22f6eb5,,,,
390b5c8a-6491-4644-91a0-70036cb64a1f,b5e5bde2-8b68-4fb3-a28b-de83cfb5043f,,,,
390b5c8a-6491-4644-91a0-70036cb64a1f,2e68ac4c-8245-4888-a4ab-06f1bf242951,,,,
390b5c8a-6491-4644-91a0-70036cb64a1f,0ad50bb3-9160-4173-8032-a777e06c7c5b,,,,
390b5c8a-6491-4644-91a0-70036cb64a1f,23a994db-a09f-4f2d-aacc-9d2d642c4c78,,,,
390b5c8a-6491-4644-91a0-70036cb64a1f,a114d5fa-0d0f-41c7-b52c-bcb03e6b7bcf,,,,
390b5c8a-6491-4644-91a0-70036cb64a1f,d69421e4-4000-460f-ba00-bcb9937a260b,,,,
390b5c8a-6491-4644-91a0-70036cb64a1f,67c99f15-167a-4aa8-b7a2-68d3faf1370e,1.1274,,,
390b5c8a-6491-4644-91a0-70036cb64a1f,a1161fa5-075b-4ca4-a73a-f5e258486013,0.7,,,
390b5c8a-6491-4644-91a0-70036cb64a1f,b31608e4-37b0-48fe-9dc3-8ef901b12896,,,,
390b5c8a-6491-4644-91a0-70036cb64a1f,e763595d-2870-4bcb-9e14-7743d4f1e5e1,18.29292,,,
390b5c8a-6491-4644-91a0-70036cb64a1f,db165cd9-51d1-4fc4-91c3-4df66c93f4fe,1.1,,,
390b5c8a-6491-4644-91a0-70036cb64a1f,6b6a877a-3260-4923-8695-c6e6f2b5cf0e,,,,
390b5c8a-6491-4644-91a0-70036cb64a1f,fd80214f-d96e-4023-805a-e80740ef8e27,0.9,,,
390b5c8a-6491-4644-91a0-70036cb64a1f,b09f97f1-7b86-4138-bff6-006574200b05,0.4,,,
390b5c8a-6491-4644-91a0-70036cb64a1f,3e129410-5f1a-455f-a411-7ce2cb4fab72,,,,
390b5c8a-6491-4644-91a0-70036cb64a1f,a4b0f562-51cf-4b61-bb17-668ca92afe2f,,,,
390b5c8a-6491-4644-91a0-70036cb64a1f,7f1910f0-0e8f-4cb3-8c8b-59af3eec22d2,4.02,,,
390b5c8a-6491-4644-91a0-70036cb64a1f,0758c966-c761-4a2e-8d90-e819995343aa,,,,
390b5c8a-6491-4644-91a0-70036cb64a1f,ad91248d-c692-49e7-8610-b50344f74a54,1.2,,,
390b5c8a-6491-4644-91a0-70036cb64a1f,3b9366e2-f191-46f8-877d-04f1c8a0a86e,,,,
390b5c8a-6491-4644-91a0-70036cb64a1f,a441ba50-6b22-4212-ae49-8db580ce6964,,,,
390b5c8a-6491-4644-91a0-70036cb64a1f,9c50fb09-2f88-41e8-9ade-bd95352e2fd0,,,,
f37ef16d-6b79-4bf6-aee7-49a9c551a429,006bd578-91fd-4e0e-a536-e211e02c5cec,,,,
f37ef16d-6b79-4bf6-aee7-49a9c551a429,6f4e1b11-60e9-4e71-a82e-4b0f949a89a9,,,,
f37ef16d-6b79-4bf6-aee7-49a9c551a429,39d9f0e6-a6cf-42a2-9004-08120c481715,,,,
f37ef16d-6b79-4bf6-aee7-49a9c551a429,868617cd-6b4a-4590-bd7f-ef3fa22f6eb5,,,,
f37ef16d-6b79-4bf6-aee7-49a9c551a429,b5e5bde2-8b68-4fb3-a28b-de83cfb5043f,,,,
f37ef16d-6b79-4bf6-aee7-49a9c551a429,2e68ac4c-8245-4888-a4ab-06f1bf242951,,,,
f37ef16d-6b79-4bf6-aee7-49a9c551a429,0ad50bb3-9160-4173-8032-a777e06c7c5b,,,,
f37ef16d-6b79-4bf6-aee7-49a9c551a429,23a994db-a09f-4f2d-aacc-9d2d642c4c78,,,,
f37ef16d-6b79-4bf6-aee7-49a9c551a429,a114d5fa-0d0f-41c7-b52c-bcb03e6b7bcf,,,,
