id,product_code,source_filename,product_name,batch_number,batch_unit,dept_name,actual_qty,mfg_date,operator,approver_1,approver_2,approver_3,notes_content,total_time,special_notes,step_count
d8968160-1f0a-4610-9c8c-c9cef61edda2,MLBS______,MLBS_미미로린스 씬트리메인퍼퓸드바디스플래쉬.xlsx,,,Kg,,Kg,,,결 재,담 당,부서장,,,,2
675c277a-7463-4eec-a7d6-34a9e072cb6f,MLCR_______,MLCR_미미로린스 하니스플레바디크림.xlsx,미미로린스 하니수플레 바디크림,,Kg,,Kg,,,결 재,담 당,부서장,*원료투입시 100메쉬 여과 거칠 것,총소요시간,,9
f9baf688-c1f4-4fa5-af77-26ebe4368fdb,MLDF_______,MLDF_미미로린스 씬트리메인디퓨져.xlsx,,,Kg,,Kg,,,결 재,담 당,부서장,,,,2
129ef96d-d045-41a0-bc8e-f126fc184946,MLDM_______,MLDM011-020_미미로린스 드레스퍼퓸미스트 딥퍼퓸레이블.xlsx,(미미로린스 드레스 퍼퓸 미스트 딥퍼퓸 레이블),,Kg,,Kg,,,결 재,담 당,부서장,,,,2
5c556427-2bc2-417c-be3e-fbcd53d5090c,MLDM_______,MLDM_미미로린스 드레스퍼퓸미스트.xlsx,,,Kg,,Kg,,,결 재,담 당,부서장,,,,2
6cfd77f8-314d-47e3-87de-d0c368161682,MLHA_____,MLHA_미미로린스 씬트리메인EFA프로테인헤어앰플 4종.xlsx,,,Kg,,Kg,,,결 재,담 당,부서장,*수상에서 점증제 완전용해 확인후 12** 투입할 것.,총소요시간,,8
8f636d9d-6679-411f-aa96-30757918df6a,MLHC_____,MLHC006-009_미미로린스 모먼트 플랜트 핸드크림 공정.xlsx,미미로린스 모먼트 플랜트 핸드크림,,Kg,,Kg,,,결 재,담 당,부서장,*메인탱크에 투입시 100메쉬 여과 거칠 것,총소요시간,,10
1556612d-f721-4868-8e10-d5684d568d4d,MLHC_____,MLHC014-017_미미로린스 모먼트핸드크림.xlsx,미미로린스 모먼트 핸드크림,,Kg,,Kg,,,결 재,담 당,부서장,*메인탱크에 투입시 100메쉬 여과 거칠 것,총소요시간,,9
69a2de02-9995-4030-b86a-3fdd2234e00e,MLHC_____,MLHC018-020_미미로린스 모먼트 핸드 포마드크림.xlsx,미미로린스 모먼트 래디언스 핸드 포마드크림,,Kg,,Kg,,,결 재,담 당,부서장,,,,7
73f7ec5b-c402-4bc3-81c1-cddcac721dfd,MLHC_____,MLHC_미미로린스 뷰티레슨핸드크림.xlsx,,,Kg,,Kg,,,결 재,담 당,부서장,*메인탱크에 투입시 100메쉬 여과 거칠 것,총소요시간,,10
a9bbbf07-5be4-4c8c-956e-614b70fcdd98,MLHD______,MLHD_미미로린스 모먼트 래디언스 핸드솝 공정.xlsx,미미로린스 모먼트 래디언스 핸드솝,,Kg,,Kg,,,결 재,담 당,부서장,,,,7
1d94cbb5-772f-4192-bb55-04eb25f7002f,MLHS_______,MLHS_미미로린스 프로테인헤어세럼.xlsx,,,Kg,,Kg,,,결 재,담 당,부서장,,,,6
b8b56fd8-6f08-4ce4-911b-12631e628fb2,MLHW______,MLHW_미미로린스 모먼트플랜트핸드워시.xlsx,미미로린스 모먼트 플랜트 핸드워시,,Kg,,Kg,,,결 재,담 당,부서장,,,,7
7c0fe44a-c88d-438c-89ed-c08e4d1412ca,MLLS_____,MLLS_미미로린스 하니수플레리퀴드핸드솝5종.xlsx,,,Kg,,Kg,,,결 재,담 당,부서장,,,,5
a956528a-05df-4a95-84a8-6e7573b89853,MLPF_______,MLPF_미미로린스 모먼트 래디언스 퍼퓸.xlsx,미미로린스 모먼트 래디언스 퍼퓸,,Kg,,Kg,,,결 재,담 당,부서장,,,,6
96056e89-7543-45eb-8eaf-10b89e06be4d,MLPF_______,MLPF_미미로린스 모먼트오디너리퍼퓸.xlsx,미미로린스 모먼트 오디너리 퍼퓸,,Kg,,Kg,,,결 재,담 당,부서장,,,,5
8b628c47-3850-4d77-a1fd-162b89128b3c,MLPG_______,MLPG_미미로린스 모먼트퍼퓸.xlsx,미미로린스 모먼트 퍼퓸,,Kg,,Kg,,,결 재,담 당,부서장,,,,6
17f25c51-a553-4aa4-9675-b06e03ac1994,MLPP_______,MLPP_미미로린스 모먼트시크릿푸퍼퓸.xlsx,미미로린스 모먼트 시크릿 푸 퍼퓸,,Kg,,Kg,,,결 재,담 당,부서장,,,,2
787849a9-749c-42c7-a2ef-7bff49fd792e,MLRM_______,MLRM_미미로린스 씬트리메인룸미스트.xlsx,,,Kg,,Kg,,,결 재,담 당,부서장,,,,2
95344f47-6d17-4659-bced-e28a4f86a12c,MLRS005,MLRS_미미로린스 씬트리메인프로테인컨디셔너.xlsx,미미롤니스 모먼트 릴렉스 헤어 컨디셔너 그린 블리스,,Kg,,Kg,,,결 재,담 당,부서장,,,,9
23ec0fbe-6216-4056-b06e-1d53865a4f54,MLSC_______,MLSC_미미로린스 씬트리메인소이캔들.xlsx,,,Kg,,Kg,,,결 재,담 당,부서장,,,,4
15cc66f6-695d-4501-a2a7-a760d39452bd,MLSP005,MLSP_미미로린스 씬트리메인프로테인샴푸.xlsx,미미로린스 모먼트 릴렉스 헤어 샴푸 그린 블리스,,Kg,,Kg,,,결 재,담 당,부서장,,,,6
2b8da7c3-d391-4836-b95f-5e7f85139c66,MLST_______,MLST_미미로린스 씬트리메인사쉐.xlsx,,,Kg,,Kg,,,결 재,담 당,부서장,,,,4
c1b8c1cd-bf1c-44c4-916f-4e3f559cc750,MLTO001,MLTO001_미미로린스 태닝오일.xlsx,미미로린스 태닝 오일,,Kg,,Kg,,,결 재,담 당,부서장,,,,5
91940172-0e5c-4fda-9e9f-0bde8f282210,MRRS001,MRRS_미렐라와일 리퀴드펄컨디셔너.xlsx,미렐라 와일 리퀴드 펄 컨디션너,,Kg,,Kg,,,결 재,담 당,부서장,,,,9
14289c18-7c07-440e-9873-cc487fcf3463,MRSC002,MRSC_마르샹 바디베일.xlsx,마르샹 베디베일 (플로럴 퍼플),,Kg,,Kg,,,결 재,담 당,부서장,,,,2
97152a44-c836-4f65-b5a6-20db50c56ab2,MRSP001,MRSP_미렐라와일 리퀴드펄샴푸.xlsx,미렐라 와일 리퀴드 펄 셤푸,,Kg,,Kg,,,결 재,담 당,부서장,,,,2
6e26a5d8-575e-474f-861c-514cf19b1304,NABC_____,NABC-아로마 바디워시.xlsx,,,Kg,,Kg,,,결 재,담 당,부서장,,,,5
d96bd7a5-91d5-4d91-9344-02804e30fbea,NPBC_____,NPBC005_에바스 나뚜리아크리미밀크바디워시 4종.xlsx,에바스 나뚜리아 크리미 밀크 바디워시,,Kg,,Kg,,,결 재,담 당,부서장,,,,5
c29bb0a8-3b6d-4a17-9e25-083295403e3d,NPBC_____,NPBC_나뚜리아 퓨어바디워시 4종.xlsx,나뚜리아 퓨어 바디워시,,Kg,,Kg,,,결 재,담 당,부서장,,,,5
