ingredient_code,ingredient_name,manufacturer,origin_country,purchase_type,purchase_method,coa_urls,composition_urls,msds_kr_urls,msds_en_urls
MAC-0026,Charcoal Powder(참숯파우더）,(주)씨앤비코스메틱,(주)이현에프앤씨,무작위,원료실,{},{},{},{}
MAC-0031,Carrot Extract,,신아무역,무작위,원료실,{},{},{},{}
MAC-0032,Coral Water(산호수추출물),씨앤비바이오,씨앤비바이오,무작위,원료실,{},"{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAC-0032/COMP/MAC-0032_COMP_001.pdf""}",{},{}
MAC-0033,Caviar Extract,더마랩,더마랩,무작위,원료실,{},{},{},{}
MAC-0034,Cocoa Powder D-11-S,인투푸드,인투푸드,무작위,원료실,{},{},{},{}
MAC-0035,체리추출물,내추럴솔루션,내추럴솔루션,무작위,원료실,{},"{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAC-0035/COMP/MAC-0035_COMP_001.pdf""}",{},{}
MAC-0036,창포 Ext.,,,무작위,원료실,{},{},{},{}
MAC-0037,코카오 complex,내추럴솔루션,내추럴솔루션,무작위,원료실,{},{},{},{}
MAC-0038,크렌베리추출물,내추럴솔루션,내추럴솔루션,무작위,원료실,"{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAC-0038/COA/MAC-0038_COA_001.pdf""}","{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAC-0038/COMP/MAC-0038_COMP_001.pdf""}",{},{}
MAC-0039,컴프리잎추출물-SP,내추럴솔루션,내추럴솔루션,무작위,원료실,{},"{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAC-0039/COMP/MAC-0039_COMP_001.pdf""}",{},{}
MAC-0040,Centella Asiatica,HUNAN,(주)이우바이오,무작위,원료실,"{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAC-0040/COA/MAC-0040_COA_001.pdf"",""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAC-0040/COA/MAC-0040_COA_002.pdf""}","{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAC-0040/COMP/MAC-0040_COMP_001.pdf""}",{},{}
MAC-0041,CapColor CV-WSS,Chr. Hansen A / S,㈜주피터 인터내셔널,무작위,원료실,"{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAC-0041/COA/MAC-0041_COA_001.pdf""}","{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAC-0041/COMP/MAC-0041_COMP_001.pdf""}",{},{}
MAC-0042,캐나다빙하수 HD,(주)블루켐,(주)블루켐,무작위,원료실,{},"{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAC-0042/COMP/MAC-0042_COMP_001.pdf""}",{},{}
MAC-0043,7 Collagen Complex,태신,태신,무작위,원료실,"{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAC-0043/COA/MAC-0043_COA_001.pdf""}","{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAC-0043/COMP/MAC-0043_COMP_001.pdf""}",{},{}
MAC-0044,칼라민파우더,DAYANG CHEM,(주)블루켐,무작위,원료실,"{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAC-0044/COA/MAC-0044_COA_001.pdf""}","{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAC-0044/COMP/MAC-0044_COMP_001.pdf""}",{},{}
MAC-0045,Cholesterol JP,NIPPON FINE CHEMICAL,한송,무작위,원료실,"{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAC-0045/COA/MAC-0045_COA_001.pdf""}","{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAC-0045/COMP/MAC-0045_COMP_001.pdf""}",{},{}
MAD-0002,DPG(Lipo DPG),DAEPYUNG,라온무역,무작위,원료실,"{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAD-0002/COA/MAD-0002_COA_001.pdf"",""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAD-0002/COA/MAD-0002_COA_002.pdf""}","{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAD-0002/COMP/MAD-0002_COMP_001.pdf""}",{},{}
MAD-0006,Deep Seawater(해양심층수),환경관리센터,젠슨리무역,무작위,원료실,{},{},{},{}
MAD-0008,Dehydrated Rose Flower,GreenTek21,에스앤디랩,무작위,원료실,{},{},{},{}
MAD-0009,머드파우더,보령시청,보령시청,무작위,원료실,{},{},{},{}
MAD-0010,머드워터(추출물),보령시청,보령시청,무작위,원료실,{},{},{},{}
MAD-0011,감나무잎추출물-PF,(주)즐거운회사,(주)즐거운회사,무작위,원료실,{},"{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAD-0011/COMP/MAD-0011_COMP_001.pdf""}",{},{}
MAD-0012,당호박추출물,(주)즐거운회사,(주)즐거운회사,무작위,원료실,"{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAD-0012/COA/MAD-0012_COA_001.pdf""}","{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAD-0012/COMP/MAD-0012_COMP_001.pdf""}",{},{}
MAD-0013,두송열매추출물-PF,(주)즐거운회사,(주)즐거운회사,무작위,원료실,{},"{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAD-0013/COMP/MAD-0013_COMP_001.pdf""}",{},{}
MAD-0014,바다포도추출물,(주)즐거운회사,(주)즐거운회사,무작위,원료실,{},"{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAD-0014/COMP/MAD-0014_COMP_001.pdf""}",{},{}
MAD-0015,Dextrose anhydrous 98% [(Glucose)],덕산약품공업,블루켐,무작위,원료실,"{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAD-0015/COA/MAD-0015_COA_001.pdf""}","{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAD-0015/COMP/MAD-0015_COMP_001.pdf""}",{},{}
MAE-0009,Ederline H,Sepoga,금강무역,무작위,원료실,{},{},{},{}
MAE-0011,Evermat,AAK,ASK corp,무작위,원료실,{},{},{},{}
MAE-0012,ECM-Protect,Atrium,비전씨앤티,무작위,원료실,{},{},{},{}
MAE-0013,EVAS Herb Complex(HD),더마랩,이스티온네이처,무작위,원료실,"{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAE-0013/COA/MAE-0013_COA_001.pdf"",""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAE-0013/COA/MAE-0013_COA_002.pdf"",""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAE-0013/COA/MAE-0013_COA_003.pdf"",""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAE-0013/COA/MAE-0013_COA_004.pdf""}","{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAE-0013/COMP/MAE-0013_COMP_001.pdf"",""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAE-0013/COMP/MAE-0013_COMP_002.pdf""}",{},{}
MAE-0014,BIO-EGF 10 H,BIO FD&C,BIO FD&C,무작위,원료실,"{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAE-0014/COA/MAE-0014_COA_001.pdf""}","{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAE-0014/COMP/MAE-0014_COMP_001.pdf"",""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAE-0014/COMP/MAE-0014_COMP_002.pdf""}",{},{}
MAE-0015,에바스-Pro Complex,내추럴솔루션,내추럴솔루션,무작위,원료실,"{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAE-0015/COA/MAE-0015_COA_001.pdf"",""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAE-0015/COA/MAE-0015_COA_002.pdf""}","{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAE-0015/COMP/MAE-0015_COMP_001.pdf""}",{},{}
MAE-0016,유칼립투스추출물,내추럴솔루션,내추럴솔루션,무작위,원료실,"{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAE-0016/COA/MAE-0016_COA_001.pdf"",""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAE-0016/COA/MAE-0016_COA_002.pdf""}","{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAE-0016/COMP/MAE-0016_COMP_001.pdf"",""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAE-0016/COMP/MAE-0016_COMP_002.pdf""}",{},{}
MAE-0017,에델바이스추출물-SP,내추럴솔루션,내추럴솔루션,무작위,원료실,{},"{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAE-0017/COMP/MAE-0017_COMP_001.pdf""}",{},{}
MAE-0018,Elastin H-HD,(주)즐거운회사,(주)즐거운회사,무작위,원료실,"{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAE-0018/COA/MAE-0018_COA_001.pdf"",""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAE-0018/COA/MAE-0018_COA_002.pdf""}","{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAE-0018/COMP/MAE-0018_COMP_001.pdf""}",{},{}
