id,allergen_name,inci_name,cas_no
ec81a228-2dd3-4dc2-8661-ee939c5da716,Methyl Salicylate,Methyl Salicylate,119-36-8
88da3d73-3329-4f7a-82d8-8fe09f6035e8,Myroxylon Pereirae Resin,Myroxylon Pereirae Resin,8007-00-9
0d4c91bc-761d-4c50-ba7c-277356f0d86a,Narcissus Poeticus Extract,Narcissus Poeticus Extract,68917-12-4 90064-25-8 90064-26-9 90064-27-0
37aaa429-f0c1-45b2-9b5e-d75f6da279ab,Pelargonium Graveolens Flower Oil,Pelargonium Graveolens Flower Oil,8000-46-2 90082-51-2
6b45a67a-2613-4778-97e2-c86857e8ace7,Pinene,Pinene,80-56-8 127-91-3 7785-70-8 18172-67-3
eea73642-0827-4702-b099-1fde2afe986c,Pinus Mugo Leaf Oil,Pinus Mugo Leaf Oil,90082-72-7
c5c42f37-186d-4c2a-b69f-c7a25dce4756,Pinus Pumila Twig Leaf Oil,Pinus Pumila Twig Leaf Oil,97676-05-6
26817863-bccb-4c7a-b34b-3276173130b5,Pogostemon Cablin Oil,Pogostemon Cablin Oil,8014-09-3 84238-39-1
01c3e293-e01a-47cb-b18a-c201479294fd,Rosa Damascena Flower Oil,Rosa Damascena Flower Oil,8007-01-0 84604-12-6 84604-13-7 84696-47-9 90106-38-0 92347-25-6 93334-48-6
9502716f-56f0-48e1-becf-a42998925322,Rose Ketone,Rose Ketone,23696-85-7 23726-91-2 23726-92-3 23726-94-5 24720-09-0 43052-87-5 57378-68-4 71048-82-3
ab8c25b0-2e9e-4457-8e9b-6299592e6f8b,Salicylaldehyde,Salicylaldehyde,90-02-8
1d52e739-653b-4d2f-abed-e4b6eb08a1af,Santalol,Santalol,77-42-9 115-71-9 11031-45-1
93383f9b-7085-47c2-a93a-62e36830134d,Santalum Album Oil,Santalum Album Oil,8006-87-9 84787-70-2
e5e7b065-3764-476d-a582-33a6d112b700,Sclareol,Sclareol,515-03-7
7d6514e8-3d5d-4958-91e3-c877969aa47a,Terpineol,Terpineol,98-55-5 138-87-4 586-81-2 8000-41-7
eeb21008-fe6e-4d11-bdec-6242621f79e7,Terpinolene,Terpinolene,586-62-9
9e5cd2fe-e8c9-41c3-bbe6-fe176af0d51a,Tetramethylacetyloctahydronaphthalenes,Tetramethylacetyloctahydronaphthalenes,54464-57-2 54464-59-4 68155-66-8 68155-67-9
3fe7a663-5fe1-4792-be36-0dd3d9c84e43,Trimethylbenzenepropanol,Trimethylbenzenepropanol,103694-68-4
d982dd3d-ff5a-4f8d-bad8-2a59957712e8,Turpentine,Turpentine,8006-64-2 8052-14-0 9005-90-7
601ebebe-2638-47fd-9fbe-f1b2718fd7b3,Vanillin,Vanillin,121-33-5
155317bf-1c64-45b2-805f-de4c6f018882,ALPHA-ISOMETHYL IONONE,ALPHA-ISOMETHYL IONONE,
a0c86b48-4d1b-4d0f-8310-1ce5a60832d1,AMYL CINNAMAL,AMYL CINNAMAL,
1e302544-ba07-4531-a7c7-14bfc3723564,AMYL CINNAMYL ALCOHOL,AMYL CINNAMYL ALCOHOL,
179838b2-7154-45e5-a0e7-25139a7764de,ANISYL ALCOHOL,ANISYL ALCOHOL,
ced61f42-52d5-444e-89a5-d135304ddc58,BENZYL ALCOHOL,BENZYL ALCOHOL,
db075877-0aef-419e-bb3d-58afc437f94b,BENZYL BENZOATE,BENZYL BENZOATE,
2752c3b5-063f-4758-9c63-6f93fc5fcc1c,BENZYL CINNAMATE,BENZYL CINNAMATE,
7a0611d4-0f5c-4388-aa83-6ba96da0b194,BENZYL SALICYLATE,BENZYL SALICYLATE,
7c493070-3874-4569-843d-6d88bb498e4d,CINNAMAL,CINNAMAL,
c8399fd6-c097-4b9d-aa6c-19e8a115a7ea,CINNAMYL ALCOHOL,CINNAMYL ALCOHOL,
73e2b013-97c6-422d-94ba-e3e9be9f4096,CITRAL,CITRAL,
f01e7805-bada-43d6-9ba9-752a352e1bd6,CITRONELLOL,CITRONELLOL,
86dac0ac-4843-47c1-9dc0-8154aa60ed9e,COUMARINE,COUMARINE,
26300c75-80ac-47ea-a631-daec7e1e4aa7,d-LIMONENE,d-LIMONENE,
b54ae166-aae3-4c69-8b17-e6ee2479f712,EUGENOL,EUGENOL,
717c0697-04dc-4c89-8683-1323ee56d6fc,FARNESOL,FARNESOL,
be1eb1f5-f3a4-48fe-81b0-518ba490147e,GERANIOL,GERANIOL,
4e6da6b5-1798-4fad-ba36-ff662f778ec9,HEXYL CINNAM-ALDEHYDE,HEXYL CINNAM-ALDEHYDE,
0b6c0c6f-723f-4b87-8423-f5a6ed43d0c9,HYDROXYCITRONELLAL,HYDROXYCITRONELLAL,
39dc7d58-5ad6-497f-84ad-087035c0fe76,ISOEUGENOL,ISOEUGENOL,
8530cab9-5b01-4f4f-8acf-7b0dcd4d5cc8,LINALOOL,LINALOOL,
