ingredient_code,component_order,inci_name_en,inci_name_kr,cas_number,composition_ratio,function,country_of_origin
MAY-0011,3,Sophora Angustifolia Root Extract,도둑놈의지팡이뿌리추출물,84775-52-0,1,Skin Conditioning Agent,대한민국
MAY-0011,4,Curcuma Longa (Turmeric) Root Extract,울금뿌리추출물,84929-28-2,1,Skin Conditioning Agent,대한민국
MAY-0011,5,Paullinia Cupana Seed Extract,과라나씨추출물,6920-22-5,1,Skin Conditioning Agent,대한민국
MAY-0011,6,"1,2-Hexanediol","1,2-헥산다이올",1117-86-8,2,Skin Conditioning Agent,대한민국
MAY-0011,7,Caprylyl Glycol,카프릴릴글라이콜,,0.5,Skin Conditioning Agent,대한민국
MAY-0011,8,Other,,,30,Skin Conditioning Agent,대한민국
MAZ-0002,1,Ubiquinone,유비퀴논,"303-98-0 
60684-33-5",100,Skin Conditioning Agent,
MCB-0002,1,CI 42090,청색1호,3844-45-9,100,Colorants,
MCB-0004,1,Anthraquinone Dye Mixture,안트라퀴논 다이 믹스처,,100,,미국
MCB-0005,1,Azo Dye Mixture,아조 다이 믹스처,,100,,
MCC-0001,1,Cacao Color,카카오색소,9004-53-9,100,Skin Conditioning Agent,대한민국
MCC-0002,1,Mica,마이카,12001-26-2,63,"Opacifying Agent, Pearlizing Agent",독일
MCC-0002,2,Titanium Dioxide,티타늄디옥사이드,13463-67-7,30.5,"Opacifying Agent, Pearlizing Agent",독일
MCC-0002,3,Iron Oxides,황색산화철,1345-27-3,6.5,"Opacifying Agent, Pearlizing Agent",독일
MCC-0003,1,synthetic fiuorphlogopite,,12003-38-2,83.5,"Bulking Agents, Opacifying Agents, Pearlizing Agent",독일
MCC-0003,2,tin oxide,틴옥사이드,1332-29-2,0.5,"Bulking Agents, Opacifying Agents, Pearlizing Agent",독일
MCC-0003,3,titanium dioxde,,13463-67-7,16,"Bulking Agents, Opacifying Agents, Pearlizing Agent",독일
MCC-0004,1,Caramel,카라멜,8028-89-5,100,Skin Conditioning Agent,대한민국
MCC-0005,1,Chromium Oxide Greens,크로뮴옥사이드그린,1308-38-9,100,Colorant,영국
MCC-0006,1,Mica,마이카,12001-26-2,72,Pearlizing Agent,중국
MCC-0006,2,CI 77891,CI 77891,13463-67-7,28,Pearlizing Agent,중국
MCC-0007,1,Titanium Dioxide,티타늄디옥사이드,13463-67-7,50,Bulking Agents,대한민국
MCC-0007,2,CI 77492,황색산화철,51274-00-1,35,Bulking Agents,대한민국
MCC-0007,3,Mica,마이카,12001-26-2,10,Bulking Agents,대한민국
MCC-0007,4,Styrene/Acrylates Copolymer,스타이렌/아크릴레이트코폴리머,9010-92-8,3,Bulking Agents,대한민국
MCC-0007,5,Sucrose,수크로오스,57-50-1,1,Bulking Agents,대한민국
MCC-0007,6,Cellulose Gum,셀룰로오스검,9004-32-4,1,Bulking Agents,대한민국
MCC-0008,1,Titanium Dioxide,티타늄디옥사이드,13463-67-7,50,Bulking Agents,대한민국
MCC-0008,2,CI 77491,적색산화철,1309-37-1,35,Bulking Agents,대한민국
MCC-0008,3,Mica,마이카,12001-26-2,10,Bulking Agents,대한민국
MCC-0008,4,Styrene/Acrylates Copolymer,스타이렌/아크릴레이트코폴리머,9010-92-8,3,Bulking Agents,대한민국
MCC-0008,5,Sucrose,수크로오스,57-50-1,1,Bulking Agents,대한민국
MCC-0008,6,Cellulose Gum,셀룰로오스검,9004-32-4,1,Bulking Agents,대한민국
MCC-0009,1,Synthetic Mica,합성플루오르플로고파이트,12003-38-2,92,Pearlizing Agent,중국
MCC-0009,2,Titanium Oxide,티타늄디옥사이드,13463-67-7,8,Pearlizing Agent,중국
MCC-0010,1,Gardenia Florida Fruit Extract,치자추출물,92457-01-7,25,Skin Conditioning Agent,대한민국
MCC-0010,2,Carthamus Tinctorius (Safflower) Flower Extract,잇꽃꽃추출물,ㅡ,50,Skin Conditioning Agent,대한민국
